,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),1.03,0.05,1.03,1.15,1.31,1.15,1.37,3,3
Extreme precipitation day,1.2,1.12,1.61,1.62,6.48,1.81,6.24,1,2
Annual avg Tmax (C),14.41,0.37,15.11,16.81,18.82,17.9,22.19,3,3
Maximum Daily Precipitation (mm/day),24.39,9.53,24.5,26.22,64.09,26.84,62.33,1,1
SPEI,-0.01,0.25,-0.03,-0.24,-1.15,-0.59,-1.56,1,3
