,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),0.61,0.05,0.61,0.62,0.75,0.62,0.8,1,1
Extreme precipitation day,0.46,0.74,0.65,0.57,3.95,0.67,4.24,1,1
Annual avg Tmax (C),25.12,0.29,25.7,27.18,28.73,28.03,31.37,3,3
Maximum Daily Precipitation (mm/day),30.27,15.11,32.42,31.76,86.32,33.96,99.14,1,1
SPEI,0.01,0.26,0.0,-0.18,-0.71,-0.43,-1.37,1,2
