,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),0.88,0.04,0.88,0.94,1.12,0.94,1.11,2,2
Extreme precipitation day,0.83,0.92,0.06,1.04,4.9,1.12,4.62,1,1
Annual avg Tmax (C),18.29,0.37,19.03,20.81,22.77,21.9,25.39,3,3
Maximum Daily Precipitation (mm/day),28.49,13.11,28.78,29.68,78.33,31.21,81.37,1,1
SPEI,-0.01,0.28,-0.07,-0.34,-1.18,-0.59,-1.59,2,3
