,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),4.2,0.19,4.61,4.27,4.75,4.26,4.65,1,1,4.16,4.26,1,4.32,1,4.3,1,4.26,1
Extreme precipitation day,1.29,0.88,5.29,1.69,6.57,1.83,7.24,1,1,1.65,1.93,1,2.15,1,2.07,1,2.44,2
Annual avg Tmax (C),25.6,0.33,26.35,27.42,28.82,28.22,30.97,3,3,26.09,27.45,3,28.05,3,27.91,3,30.08,3
Maximum Daily Precipitation (mm/day),78.22,13.97,176.54,82.7,202.69,91.93,256.51,1,1,84.61,87.22,1,97.19,1,102.71,2,106.54,1
SPEI,-0.0,0.28,-0.64,0.1,-0.68,-0.05,-0.87,0,1,0.06,0.14,0,0.11,0,-0.04,1,-0.05,1
Heating Degree Days,1712.23,133.53,2293.9,1312.35,1959.7,1175.53,1988.37,0,0,1618.93,1319.48,0,1196.96,0,1225.27,0,850.93,0
Extreme Degree Days,0.0,0.0,4.46,0.08,28.07,1.17,178.33,2,3,0.37,1.65,2,2.66,2,3.74,2,41.75,3
Cooling Degree Days,2298.18,117.4,2907.55,3108.74,3943.44,3399.16,5100.8,3,3,2513.82,3119.4,3,3364.05,3,3305.63,3,4396.83,3
Wildfire,,,,8.32,,6.86,,1,1,5.61,7.43,1,9.22,1,6.15,1,7.56,1
