,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85
Annual precipitation (mm/day),2.62,0.07,2.67,2.77,3.09,2.81,3.07,3,3
Extreme precipitation day,1.92,1.42,13.72,2.56,7.48,2.98,8.52,1,2
Annual avg Tmax (C),16.32,0.33,16.99,18.6,19.77,19.65,23.59,3,3
Maximum Daily Precipitation (mm/day),45.29,14.1,48.16,48.54,93.81,54.18,117.97,1,2
SPEI,0.0,0.23,-0.06,0.33,-0.5,0.29,-0.73,0,0
Heating Degree Days,5848.14,386.57,,4918.3,6096.44,4595.28,6076.04,0,0
Extreme Degree Days,0.0,0.01,,0.01,0.51,0.98,19.1,2,3
Cooling Degree Days,731.41,125.75,,1243.65,1782.21,1570.19,2703.36,3,3
