,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),1.11,0.05,1.12,1.2,1.33,1.16,1.3,2,2
Extreme precipitation day,1.09,1.02,1.52,1.35,5.43,1.33,5.14,1,1
Annual avg Tmax (C),17.49,0.34,18.14,19.76,20.87,20.8,24.77,3,3
Maximum Daily Precipitation (mm/day),29.37,11.66,30.16,31.38,78.62,31.72,88.29,1,1
SPEI,0.0,0.26,-0.03,0.01,-0.71,-0.34,-1.32,0,2
