,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),2.83,0.08,2.89,3.0,3.23,3.04,3.27,3,3
Extreme precipitation day,1.37,1.12,6.14,1.93,6.33,2.43,7.43,1,2
Annual avg Tmax (C),15.23,0.32,15.93,17.56,19.43,18.6,22.61,3,3
Maximum Daily Precipitation (mm/day),41.39,12.67,44.55,44.52,93.92,50.81,113.12,1,2
SPEI,0.0,0.25,0.02,0.26,-0.41,0.34,-0.48,0,0
