,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),2.8,0.08,3.02,2.98,3.37,3.03,3.34,3,3,2.84,2.96,2,3.0,2,3.04,2,3.17,3
Extreme precipitation day,1.95,0.65,6.57,2.55,7.81,3.19,9.38,1,2,2.17,2.84,1,3.16,2,3.51,2,4.14,2
Annual avg Tmax (C),17.75,0.33,18.5,20.01,21.8,21.01,24.0,3,3,18.19,20.08,3,20.69,3,20.66,3,23.32,3
Maximum Daily Precipitation (mm/day),44.88,7.65,93.29,49.74,101.53,55.66,114.47,1,2,48.63,51.81,1,53.22,1,56.91,2,62.65,2
SPEI,-0.0,0.25,-0.7,0.32,-0.52,0.26,-0.65,0,0,-0.07,0.22,0,0.42,0,0.05,0,0.22,0
Heating Degree Days,5114.61,195.14,5980.83,4227.8,5379.15,3953.7,5379.36,0,0,4924.03,4261.66,0,3997.39,0,4057.52,0,3237.31,0
Extreme Degree Days,0.0,0.0,0.0,0.0,2.28,0.0,39.22,0,0,0.0,0.05,0,0.14,0,0.16,3,9.14,3
Cooling Degree Days,977.39,87.48,1352.49,1586.26,2139.08,1842.64,3128.2,3,3,1093.61,1610.83,3,1747.72,3,1781.52,3,2659.45,3
Wildfire,,,,8.26,,6.66,,1,1,6.38,7.19,1,9.33,1,5.58,1,7.74,1
