,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),1.07,0.05,1.17,1.13,1.3,1.15,1.33,2,2,1.05,1.15,3,1.15,3,1.14,3,1.24,3
Extreme precipitation day,0.6,0.85,4.1,0.98,5.57,1.17,6.19,1,1,1.0,1.37,1,1.35,1,1.45,2,2.05,2
Annual avg Tmax (C),16.64,0.35,17.73,18.91,20.78,19.85,22.71,3,3,17.06,19.03,3,19.65,3,19.52,3,22.1,3
Maximum Daily Precipitation (mm/day),26.21,5.16,64.22,28.77,69.47,29.32,71.58,1,1,28.39,30.63,1,29.43,1,31.47,1,32.87,2
SPEI,0.0,0.29,-0.61,0.07,-0.61,-0.04,-0.64,0,1,-0.19,0.07,0,0.3,0,0.03,0,0.02,0
Heating Degree Days,6407.13,195.32,7365.49,5284.42,6540.84,4976.31,6577.58,0,0,6214.67,5265.9,0,4998.82,0,5079.88,0,4071.07,0
Extreme Degree Days,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0,0,0.0,0.0,0,0.0,0,0.0,0,0.17,0
Cooling Degree Days,173.68,40.69,420.76,522.13,963.41,687.46,1670.24,3,3,245.22,520.61,3,663.2,3,663.17,3,1304.34,3
Wildfire,,,,9.82,,10.67,,1,1,9.58,9.25,1,10.39,1,9.85,1,11.49,2
