,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),1.02,0.05,1.01,1.08,1.24,1.1,1.27,2,2
Extreme precipitation day,0.8,0.9,1.57,1.04,4.57,1.24,5.71,1,1
Annual avg Tmax (C),15.73,0.33,16.4,18.01,19.16,18.95,21.82,3,3
Maximum Daily Precipitation (mm/day),26.23,9.47,26.98,27.71,62.03,28.94,68.54,1,1
SPEI,0.0,0.29,0.02,0.07,-0.61,-0.04,-0.64,0,1
