,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),0.86,0.05,0.86,0.93,1.06,0.93,1.11,2,2
Extreme precipitation day,1.07,1.08,0.48,1.34,5.76,1.45,5.38,1,1
Annual avg Tmax (C),18.67,0.41,19.42,21.16,23.22,22.28,26.79,3,3
Maximum Daily Precipitation (mm/day),23.82,9.52,24.59,25.65,63.63,26.85,71.22,1,1
SPEI,-0.0,0.26,-0.05,-0.29,-1.16,-0.56,-1.48,2,3
