,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85
Annual precipitation (mm/day),1.76,0.04,1.8,1.91,2.04,1.99,2.31,3,3
Extreme precipitation day,2.32,1.57,3.23,3.57,9.76,4.62,12.29,2,2
Annual avg Tmax (C),4.83,0.22,5.34,6.59,7.4,7.37,9.76,3,3
Maximum Daily Precipitation (mm/day),20.57,5.84,21.48,22.79,43.04,25.15,46.48,1,2
SPEI,0.02,0.28,0.13,0.49,-0.14,1.16,-0.03,0,0
Heating Degree Days,9125.36,309.68,,7951.68,9090.72,7436.34,9053.32,0,0
Extreme Degree Days,0.0,0.0,,0.0,0.0,0.0,0.0,3,3
Cooling Degree Days,0.0,0.0,,0.0,0.0,0.27,6.2,3,3
