,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),2.83,0.08,3.04,3.0,3.23,3.04,3.27,3,3,2.89,2.96,2,3.06,3,3.04,3,3.15,3
Extreme precipitation day,1.19,0.64,4.48,1.67,6.33,2.29,7.43,1,2,1.49,1.85,1,2.15,2,2.34,2,3.02,2
Annual avg Tmax (C),15.23,0.32,15.95,17.56,19.43,18.6,22.61,3,3,15.71,17.61,3,18.32,3,18.27,3,20.96,3
Maximum Daily Precipitation (mm/day),38.92,5.68,89.61,42.18,93.92,47.6,113.12,1,2,43.28,43.83,1,46.04,1,51.01,2,54.65,2
SPEI,0.0,0.25,-0.37,0.26,-0.41,0.34,-0.48,0,0,-0.09,0.32,0,0.32,0,0.32,0,0.58,0
Heating Degree Days,6560.38,186.74,7408.46,5432.76,6630.6,5088.12,6562.16,0,0,6319.65,5476.7,0,5126.31,0,5195.85,0,4143.35,0
Extreme Degree Days,0.0,0.0,0.0,0.0,0.59,0.0,17.75,0,0,0.0,0.01,0,0.01,0,0.02,0,2.33,3
Cooling Degree Days,601.16,66.48,905.59,1092.17,1540.97,1296.92,2370.63,3,3,696.68,1100.99,3,1239.7,3,1257.89,3,1994.83,3
Wildfire,,,,6.14,,5.31,,1,1,4.83,5.87,1,6.4,1,4.72,0,5.9,1
