date,spei
1981-12-31,0.1047353375446946
1982-12-31,0.1866133464179461
1983-12-31,-0.0087118193595513
1984-12-31,0.6838962931818615
1985-12-31,0.6315922980390681
1986-12-31,-0.0473511551989833
1987-12-31,-0.0394773388006957
1988-12-31,-0.0117980938346818
1989-12-31,0.2522864961070977
1990-12-31,0.3909497051569215
1991-12-31,0.2786374065303995
1992-12-31,0.1977272974038229
1993-12-31,0.1928356347815333
1994-12-31,0.0803547181712214
1995-12-31,-0.324510062081235
1996-12-31,-0.0275085131863165
1997-12-31,0.1477795389382009
1998-12-31,-0.2867254434928667
1999-12-31,-0.4157812342986954
2000-12-31,-0.0544407328796615
2001-12-31,-0.1114156479671872
2002-12-31,-0.1388992158672564
2003-12-31,-0.2589223402045484
2004-12-31,-0.4335170555170184
2005-12-31,-0.0915504422400703
2006-12-31,-0.0060406719830543
2007-12-31,-0.1095887172182557
2008-12-31,-0.1433712782329193
2009-12-31,-0.435960251378338
2010-12-31,-0.3094469924678636
2011-12-31,-0.0101852309374599
2012-12-31,0.3356005210100488
2013-12-31,-0.1626465206289825
2014-12-31,-0.1964706820990962
