,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85
Annual precipitation (mm/day),1.97,0.14,1.94,1.92,2.34,1.84,2.37,0,0
Extreme precipitation day,1.23,1.22,9.37,1.42,6.48,1.45,6.67,1,1
Annual avg Tmax (C),27.61,0.31,28.14,29.56,30.91,30.44,33.67,3,3
Maximum Daily Precipitation (mm/day),60.81,26.28,61.58,64.33,166.41,65.98,193.19,1,1
SPEI,-0.02,0.3,-0.03,-0.29,-1.09,-0.54,-1.59,1,2
Heating Degree Days,1100.82,177.17,,762.53,1268.6,646.06,1306.43,0,0
Extreme Degree Days,0.16,0.66,,5.71,48.78,42.05,276.29,3,3
Cooling Degree Days,3087.33,253.92,,3990.51,4852.43,4451.7,6143.15,3,3
