,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),1.53,0.07,1.53,1.67,1.89,1.7,1.96,3,3
Extreme precipitation day,1.53,1.38,0.22,2.19,7.62,2.51,8.81,1,2
Annual avg Tmax (C),12.86,0.33,13.55,15.3,17.35,16.33,20.1,3,3
Maximum Daily Precipitation (mm/day),34.1,12.57,35.07,37.22,78.08,39.47,82.34,1,1
SPEI,0.01,0.28,0.02,0.0,-0.6,-0.09,-0.99,1,1
