,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85
Annual precipitation (mm/day),1.0,0.06,1.02,1.07,1.18,1.06,1.23,2,1
Extreme precipitation day,0.99,1.05,2.67,1.1,4.81,1.15,4.9,1,1
Annual avg Tmax (C),17.84,0.34,18.46,20.13,22.03,21.12,24.15,3,3
Maximum Daily Precipitation (mm/day),28.78,11.4,29.08,30.09,71.93,30.52,74.82,1,1
SPEI,-0.01,0.27,-0.04,-0.08,-0.62,-0.34,-1.09,1,2
Heating Degree Days,6341.17,387.92,,5369.24,6569.93,5007.42,6601.49,0,0
Extreme Degree Days,0.0,0.0,,0.03,2.27,1.31,33.82,3,3
Cooling Degree Days,607.65,137.16,,1095.78,1691.95,1388.53,2547.94,3,3
