,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),3.19,0.08,3.28,3.41,3.77,3.52,3.85,3,3
Extreme precipitation day,2.07,1.4,2.65,2.8,7.57,3.37,9.1,1,2
Annual avg Tmax (C),16.6,0.36,17.29,18.84,19.94,19.82,22.76,3,3
Maximum Daily Precipitation (mm/day),55.35,17.4,59.78,59.29,120.17,66.95,140.7,1,2
SPEI,0.01,0.24,0.01,0.3,-0.76,0.27,-0.59,0,0
