,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_std,rcp45_max,rcp85_mean,rcp85_std,rcp85_max,hist_10yr_mean,hist_10yr_max,hist_10yr_std,mid_rcp45_mean,mid_rcp45_max,late_rcp45_mean,late_rcp45_max,mid_rcp85_mean,mid_rcp85_max,late_rcp85_mean,late_rcp85_max,recent_30yr_mean,recent_30yr_max,zscore_rcp45,shifting_rcp45,zscore_rcp85,shifting_rcp85,zscore_mid_rcp45,shifting_mid_rcp45,zscore_late_rcp45,shifting_late_rcp45,zscore_mid_rcp85,shifting_mid_rcp85,zscore_late_rcp85,shifting_late_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,18.71,0.39,20.0,21.17,0.81,22.82,22.26,1.83,26.38,19.21,19.56,0.25,21.36,21.53,22.06,22.35,21.87,22.22,24.66,25.15,19.43,20.19,6.27,3,9.05,3,8.72,3,11.6,3,10.8,3,22.15,3
1,"Amchitka, AK, Site",AMC,AK,4.83,0.22,5.3,6.59,0.6,7.4,7.37,1.31,9.76,5.14,5.3,0.12,6.63,6.78,7.21,7.33,7.04,7.26,9.27,9.55,5.34,5.8,8.14,3,11.74,3,12.18,3,17.01,3,15.61,3,33.87,3
2,"Bluewater, NM, Disposal Site",BLU,NM,18.71,0.39,20.0,21.16,0.79,22.35,22.25,1.81,25.57,19.21,19.56,0.25,21.36,21.53,22.06,22.35,21.87,22.22,24.66,25.15,19.43,20.19,6.25,3,9.03,3,8.72,3,11.6,3,10.8,3,22.15,3
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,30.0,0.39,30.86,31.3,0.44,31.96,31.91,0.97,33.86,30.62,30.86,0.22,31.33,31.57,31.83,31.95,31.68,31.96,33.25,33.51,30.54,30.86,3.3,3,4.84,3,3.25,3,5.49,3,4.81,3,11.97,3
4,"Bronco, CO, Site",BRO,CO,15.7,0.4,17.02,18.14,0.8,19.35,19.27,1.87,23.68,16.16,16.45,0.24,18.32,18.57,19.02,19.32,18.8,19.22,21.77,22.36,16.43,17.22,6.11,3,8.93,3,8.86,3,11.74,3,10.82,3,22.99,3
5,"Burrell, PA, Disposal Site",BUR,PA,16.6,0.36,17.32,18.84,0.73,19.94,19.82,1.6,22.76,17.11,17.32,0.17,18.9,19.17,19.5,19.67,19.49,19.8,22.07,22.41,17.29,17.98,6.27,3,9.02,3,10.72,3,14.24,3,14.21,3,29.59,3
6,"Burris Park, CA, Site",BRP,CA,25.12,0.29,25.84,27.18,0.69,28.73,28.03,1.47,31.37,25.53,25.84,0.19,27.28,27.54,27.88,28.03,27.8,28.26,30.0,30.25,25.7,26.46,7.01,3,9.93,3,9.47,3,12.67,3,12.23,3,24.12,3
7,"Canonsburg, PA, Disposal Site",CAN,PA,16.72,0.37,17.93,18.93,0.74,20.71,19.9,1.6,22.82,17.2,17.4,0.16,18.98,19.25,19.58,19.74,19.57,19.89,22.16,22.48,17.41,18.06,5.9,3,8.5,3,11.24,3,14.99,3,14.93,3,31.27,3
8,"Casper, WY, Calibration Model",CSC,WY,15.96,0.34,16.7,18.25,0.78,20.19,19.34,1.78,23.37,16.36,16.68,0.24,18.42,18.59,19.03,19.37,18.88,19.21,21.8,22.35,16.61,17.47,6.7,3,9.89,3,8.6,3,11.12,3,10.52,3,22.68,3
9,"Central Nevada Test Area, NV",CNT,NV,19.14,0.36,19.98,21.62,0.8,22.68,22.66,1.76,26.67,19.62,19.92,0.23,21.77,22.03,22.46,22.68,22.31,22.79,25.03,25.35,19.85,20.72,6.83,3,9.7,3,9.38,3,12.39,3,11.7,3,23.56,3
10,"Colonie, NY, Site",CLN,NY,15.23,0.32,15.95,17.56,0.79,19.43,18.6,1.69,22.61,15.71,15.95,0.13,17.61,17.8,18.32,18.45,18.27,18.58,20.96,21.31,15.93,16.6,7.25,3,10.47,3,14.17,3,19.45,3,19.03,3,39.04,3
