,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_std,rcp45_max,rcp85_mean,rcp85_std,rcp85_max,1990_2019_mean,1990_2019_std,1990_2019_max,shifting_rcp45,shifting_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,0.8261243752195085,0.04386720728275289,0.966757650357221,0.8594689210990895,0.06002251156260825,1.01491529948068,0.8262139449872429,0.05171078370566555,0.9304597549063769,0.8121069298501198,0.9210799388190207,0.049405798324581314,1.0,1.0
1,"Amchitka, AK, Site",AMC,AK,1.7579578794588657,0.04232720444003233,1.862082711055071,1.9099747539118381,0.0719734451644436,2.044267811066226,1.988360212843584,0.13182674300886002,2.3060980848254444,1.8013444701402197,1.8948506825021243,0.05450464075011808,3.0,3.0
2,"Bluewater, NM, Disposal Site",BLU,NM,0.8259493940165016,0.04414185607969312,0.966757650357221,0.8591861247303606,0.05955811413996508,1.01491529948068,0.8261996702891709,0.05172724036078663,0.9304597549063769,0.8117690351132787,0.9210799388190207,0.049780329241878835,1.0,1.0
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,4.979356066249776,0.26072580523500666,5.617737426961848,4.499521392057623,0.30069884993326235,5.270571155935319,4.3707267800104335,0.5452533270426376,5.665711534557047,4.999559468547538,5.665711534557047,0.2474753674614281,0.0,0.0
4,"Bronco, CO, Site",BRO,CO,0.9068545518446189,0.04768929060198656,1.0480046943767851,1.0010623529031395,0.057782846987319475,1.1334729565393054,1.0065335226716907,0.07111547480326377,1.1844341397533336,0.9093592345769304,1.0239223213461004,0.04824015520711404,2.0,3.0
5,"Burrell, PA, Disposal Site",BUR,PA,3.1861163897120135,0.08494385144240739,3.4046579139201465,3.4149877179924633,0.12914995853045325,3.7732707102825414,3.5213804009891922,0.15727121407079417,3.8509335434453202,3.2817303982679684,3.602634862450572,0.1258251519300357,3.0,3.0
6,"Burris Park, CA, Site",BRP,CA,0.6147519206434267,0.04917938430561568,0.7060282068192552,0.6199197025417037,0.0531991316394368,0.7466155461832208,0.6239213491870037,0.05490670596186149,0.8027912608943453,0.6128906569326297,0.7884098177665114,0.06867451127830179,1.0,1.0
7,"Canonsburg, PA, Disposal Site",CAN,PA,2.8436015076506216,0.07990687594029107,3.082102949822756,3.0241054041550317,0.10719858132161957,3.2915348352133855,3.118941082874703,0.13293186591098935,3.4103318385078563,2.921499951367816,3.1327181567770848,0.09523941731523923,3.0,3.0
8,"Casper, WY, Calibration Model",CSC,WY,0.8403822355736371,0.040056162462094785,0.9195189371071656,0.9220712604161567,0.048581201399743416,1.0404072142920606,0.9231819073605255,0.06578976769991804,1.113342704722639,0.8465973863568499,0.9272698784771984,0.04095828644771579,3.0,3.0
9,"Central Nevada Test Area, NV",CNT,NV,0.7222475373223489,0.04290610559118347,0.8166089321435467,0.7717108294696633,0.05761137539873046,0.9451278527621922,0.7730310779287195,0.06279576905943728,0.9945160455613786,0.7180368203971524,0.8167236183245042,0.04683487700848009,2.0,2.0
10,"Colonie, NY, Site",CLN,NY,2.831170568033845,0.07759335667447277,3.041412077788857,2.998597391814507,0.08556219303173435,3.2297070702882693,3.0386518436373513,0.12005677875956484,3.268436003777255,2.889061317400656,3.041412077788857,0.07465511799611442,3.0,3.0
11,"Durango, CO, Disposal Site",DUD,CO,1.0678226489224738,0.051757087328325645,1.196130488840327,1.123978686861818,0.07491061473706209,1.3226545416581463,1.103528677589235,0.07187917513075019,1.2712889798642735,1.0557414498190771,1.2146951062611402,0.06724910620007996,2.0,1.0
12,"Durango, CO, Processing Site",DUP,CO,1.3584806816329,0.06481928042738415,1.5168464942507631,1.4353237758072332,0.09642863517380276,1.6875839712661311,1.4130356467306386,0.09244874097992338,1.6404263664111551,1.3461937000480615,1.5382561615994894,0.08490720994654678,2.0,1.0
13,"Edgemont, SD, Disposal Site",EDG,SD,1.0048832818789981,0.055064782715146504,1.1509908939523865,1.067428143329922,0.05161260384517439,1.1844577256818296,1.0567584834189903,0.0586473253584089,1.2287944942903501,1.01698438141641,1.1509908939523865,0.05787607665630055,2.0,1.0
14,"Falls City, TX, Disposal Site",FCT,TX,1.9714229903276814,0.13546595347843668,2.2319874890819196,1.9211148124304656,0.1515093325480022,2.336656747102588,1.840140432155354,0.15906467333999053,2.369663697568217,1.9400440761985829,2.2319874890819196,0.15362041662490697,0.0,0.0
15,"Fernald Preserve, OH, Site",FER,OH,2.803884652363076,0.08495168262483276,3.0201913874713893,2.9801844767115027,0.11644992707063596,3.36601655255704,3.0290409818615855,0.12395449058586144,3.335933328924238,2.84932379596525,3.0661566014797415,0.10291641727575211,3.0,3.0
16,"Gasbuggy, NM, Site",GSB,NM,1.0274005285248076,0.04494252324081577,1.1560165668192859,1.0735303350247134,0.07316882540435644,1.2578377670263754,1.0397742098907246,0.06394875586706242,1.202735419172684,1.0133124725105374,1.130798526877452,0.057728635054533475,2.0,1.0
17,"George West, TX, Calibration Model",GWC,TX,1.9201423411464982,0.13736112015146007,2.168824792289532,1.8683131494754868,0.15151785756418568,2.2320548129260196,1.7995293262787158,0.15879985314904083,2.3399211524172756,1.8874865227884614,2.155830148911328,0.15812230267570027,0.0,0.0
18,"Gnome-Coach, NM, Site",GNO,NM,0.7854626419927238,0.050743446536676014,0.9044304363313583,0.7676941987538365,0.06383240582852165,0.9442949789990561,0.7537041112145935,0.06057422629744322,0.9032152010757742,0.7856303478829856,0.9044304363313583,0.050447032967323197,0.0,0.0
19,"Grand Junction Regional Airport, CO, Calibration Model",GAC,CO,0.8584783103132342,0.04701717688588791,0.9554366017024902,0.9307256534991495,0.05778849362829063,1.0646811447332922,0.9300896253052409,0.06590743298759545,1.1144129667467624,0.8578107897778731,0.9596035625258703,0.05162381678793575,2.0,2.0
20,"Grand Junction, CO, Calibration Model",GJC,CO,0.8584783103132342,0.04701717688588791,0.9554366017024902,0.9307256534991495,0.05778849362829063,1.0646811447332922,0.9300896253052409,0.06590743298759545,1.1144129667467624,0.8578107897778731,0.9596035625258701,0.051623816787935733,2.0,2.0
21,"Grand Junction, CO, Disposal Site",GRJ,CO,0.9005153235471719,0.0444152083931482,1.0032286033029436,0.968330324650634,0.06323772536919928,1.1356539400779806,0.9679093935774427,0.06650168135609852,1.1196251515424263,0.9011071720985808,1.0032286033029436,0.05123609972486726,2.0,2.0
22,"Grand Junction, CO, Processing Site",GJT,CO,0.8584783103132342,0.04701717688588791,0.9554366017024902,0.9310626271450525,0.05789606080684754,1.0646811447332922,0.9297490649874884,0.06594222801356173,1.1144129667467624,0.8578107897778731,0.9596035625258703,0.05162381678793575,2.0,2.0
23,"Grand Junction, CO, Site",GJO,CO,0.8584783103132342,0.04701717688588791,0.9554366017024902,0.9310626271450525,0.05789606080684754,1.0646811447332922,0.9300896253052409,0.06590743298759545,1.1144129667467624,0.8578107897778731,0.9596035625258701,0.051623816787935733,2.0,2.0
24,"Grants, NM, Calibration Model",GNC,NM,0.8259493940165016,0.04414185607969312,0.966757650357221,0.8591861247303606,0.05955811413996508,1.01491529948068,0.8262139449872429,0.05171078370566555,0.9304597549063769,0.8117690351132787,0.9210799388190207,0.049780329241878835,1.0,1.0
25,"Green River, UT, Disposal Site",GRN,UT,0.4627903122402669,0.029261361911292954,0.5524000196338176,0.4965332954125032,0.03573367731513659,0.594419812492597,0.49229185116354823,0.03631779808394354,0.5786803344870498,0.4570690357411618,0.5247605330328894,0.029920115075594535,2.0,2.0
26,"Gunnison, CO, Disposal Site",GUD,CO,1.4480886303377127,0.06522290871390271,1.5819823831689224,1.57296936204456,0.0921936632059524,1.8459313699218094,1.563780684941887,0.10337595251824525,1.8578275571814262,1.453811888198641,1.5796176793385466,0.07857897485550323,2.0,2.0
27,"Gunnison, CO, Processing Site",GUP,CO,1.4483308485567776,0.06523474449739608,1.5819823831689224,1.57296936204456,0.0921936632059524,1.8459313699218094,1.563780684941887,0.10337595251824525,1.8578275571814262,1.4542796199320078,1.5796176793385466,0.07856320742222016,2.0,2.0
28,"Hallam, NE, Decommissioned Reactor Site",HAL,NE,2.058122606117471,0.09895837802177396,2.38197978264087,2.098674654870847,0.09973187469736292,2.4182155992760137,2.0907970952764847,0.09406016714771241,2.378081543252948,2.0750149798651436,2.2545479728522753,0.09401826212676001,1.0,1.0
