,Name,NameMnemonic,StateCode,hist_mean,hist_max,hist_median,hist_70p,hist_95p,hist_10yr_mean,hist_10yr_max,hist_10yr_median,hist_10yr_70p,hist_10yr_95p,rcp45_mean,rcp45_max,rcp45_median,mid_rcp45_mean,mid_rcp45_max,mid_rcp45_median,late_rcp45_mean,late_rcp45_max,late_rcp45_median,rcp85_mean,rcp85_max,rcp85_median,mid_rcp85_mean,mid_rcp85_max,mid_rcp85_median,late_rcp85_mean,late_rcp85_max,late_rcp85_median,recent_mean,recent_max,recent_median,shifting_rcp45,shifting_rcp85,shifting_mid_rcp45,shifting_late_rcp45,shifting_mid_rcp85,shifting_late_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,28.81,73.17,25.81,32.36,53.23,28.68,50.23,26.41,31.96,46.92,30.35,83.21,28.17,30.4,53.48,28.59,31.37,54.17,29.83,29.45,71.09,27.3,28.59,49.71,26.64,32.31,53.83,30.48,28.56,61.27,26.29,1,1,1,1,1,1
1,"Amchitka, AK, Site",AMC,AK,20.57,40.19,19.62,22.43,30.71,20.56,30.14,19.59,22.49,28.36,22.79,43.04,21.86,23.02,32.04,22.41,23.67,33.83,22.63,25.15,46.48,24.15,25.01,35.61,24.13,27.89,38.45,27.26,21.48,38.69,20.25,1,2,1,2,2,2
2,"Bluewater, NM, Disposal Site",BLU,NM,28.81,73.17,25.81,32.36,53.23,28.68,50.23,26.41,31.96,46.92,30.35,83.21,28.17,30.4,53.48,28.59,31.37,54.17,29.83,29.45,71.09,27.3,28.59,49.71,26.64,32.31,53.83,30.48,28.56,61.27,26.29,1,1,1,1,1,1
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,87.06,193.48,81.79,99.22,146.11,86.91,144.03,81.65,99.8,133.75,82.9,194.76,75.99,83.38,142.45,79.32,84.16,156.0,76.68,92.5,300.13,81.01,101.22,179.38,95.76,70.99,140.02,60.47,95.31,280.85,81.87,0,0,0,0,1,0
4,"Bronco, CO, Site",BRO,CO,22.63,51.88,21.09,25.42,38.51,23.11,37.41,21.89,25.79,34.99,24.03,52.29,22.44,23.26,36.66,22.28,25.23,43.66,22.9,25.42,58.17,23.55,24.47,38.71,23.37,27.8,47.22,25.82,22.77,45.47,21.68,1,1,1,1,1,2
5,"Burrell, PA, Disposal Site",BUR,PA,55.35,117.67,52.05,60.12,87.16,56.1,87.77,53.85,59.67,80.83,59.29,120.17,56.65,58.48,88.52,54.89,63.17,92.9,60.93,66.95,140.7,63.05,66.03,109.03,60.32,69.39,101.98,66.93,59.78,127.33,54.21,1,2,1,2,2,2
6,"Burris Park, CA, Site",BRP,CA,30.27,79.7,26.62,34.7,58.65,31.91,62.68,29.15,35.72,56.93,31.76,86.32,28.88,30.52,55.28,28.87,32.01,59.93,29.31,33.96,99.14,30.33,32.36,65.09,27.43,36.06,70.82,33.91,32.42,82.87,28.5,1,1,0,1,0,1
7,"Canonsburg, PA, Disposal Site",CAN,PA,46.07,85.11,43.72,51.2,70.66,47.14,64.5,46.07,52.45,61.87,49.55,97.15,47.24,50.61,76.9,48.49,49.58,74.56,47.18,54.84,112.44,52.19,55.65,88.03,53.91,58.35,87.39,54.52,48.26,84.82,46.17,1,2,1,1,2,2
8,"Casper, WY, Calibration Model",CSC,WY,23.2,55.39,21.59,26.13,40.31,23.56,39.98,22.27,26.27,36.67,23.9,57.9,22.17,23.87,39.99,22.8,24.23,39.36,23.12,24.76,58.64,22.83,25.11,41.42,24.44,25.37,40.46,24.7,23.12,47.74,21.14,1,1,1,1,1,1
9,"Central Nevada Test Area, NV",CNT,NV,26.05,62.16,24.05,28.95,47.33,27.38,52.98,23.96,30.41,47.25,28.46,68.73,26.79,29.12,50.04,26.52,28.92,46.75,28.08,29.53,82.32,26.82,27.8,48.19,26.04,32.8,58.73,30.38,27.31,68.27,24.87,1,1,1,1,1,1
