,Name,NameMnemonic,StateCode,hist_mean,hist_max,hist_median,hist_70p,hist_95p,hist_10yr_mean,hist_10yr_max,hist_10yr_median,hist_10yr_70p,hist_10yr_95p,rcp45_mean,rcp45_max,rcp45_median,mid_rcp45_mean,mid_rcp45_max,mid_rcp45_median,late_rcp45_mean,late_rcp45_max,late_rcp45_median,rcp85_mean,rcp85_max,rcp85_median,mid_rcp85_mean,mid_rcp85_max,mid_rcp85_median,late_rcp85_mean,late_rcp85_max,late_rcp85_median,shifting_rcp45,shifting_rcp85,shifting_mid_rcp45,shifting_late_rcp45,shifting_mid_rcp85,shifting_late_rcp85
46,"Pre-Gondola and Trencher, MT, Site",PGD,MT,0.69,3.43,0.36,0.9,2.06,0.68,2.0,0.43,0.9,1.77,0.74,3.86,0.43,0.79,2.24,0.48,0.74,2.24,0.52,0.74,3.86,0.48,0.71,2.19,0.38,0.81,2.29,0.62,1,1,1,1,0,1
47,"Pre-Schooner II, ID, Site",PSC,ID,0.72,3.38,0.43,0.98,2.17,0.76,2.33,0.43,0.94,2.01,1.09,4.48,0.86,1.1,2.81,0.86,1.29,3.29,1.05,1.29,5.95,0.98,1.26,3.67,0.81,1.81,4.57,1.57,1,1,1,2,1,2
48,"Rifle New, CO, Processing Site",RFN,CO,1.25,4.95,0.95,1.57,3.39,1.3,3.62,0.95,1.67,3.14,1.69,6.14,1.55,1.6,3.86,1.43,1.74,3.9,1.48,1.86,6.43,1.55,1.87,4.29,1.62,2.38,4.81,2.14,1,1,1,1,1,2
49,"Rifle Old, CO, Processing Site",RFO,CO,1.25,4.95,0.95,1.57,3.39,1.3,3.62,0.95,1.67,3.14,1.69,6.14,1.55,1.6,3.86,1.43,1.74,3.9,1.48,1.86,6.43,1.55,1.87,4.29,1.62,2.38,4.81,2.14,1,1,1,1,1,2
50,"Rifle, CO, Disposal Site",RFL,CO,1.25,4.95,0.95,1.57,3.39,1.3,3.62,0.95,1.67,3.14,1.69,6.14,1.55,1.6,3.86,1.43,1.74,3.9,1.48,1.86,6.43,1.55,1.87,4.29,1.62,2.38,4.81,2.14,1,1,1,1,1,2
51,"Rio Blanco, CO, Site",RBL,CO,1.52,5.48,1.31,2.0,3.86,1.71,4.24,1.43,2.13,3.72,1.98,7.1,1.67,1.82,4.57,1.52,2.14,4.57,2.05,2.15,7.0,1.88,2.16,4.76,2.05,2.54,5.24,2.29,1,1,1,1,1,2
52,"Riverton, WY, Processing Site",RVT,WY,1.35,5.0,1.1,1.71,3.44,1.47,3.43,1.29,1.93,3.12,1.73,6.1,1.45,1.85,4.38,1.57,1.77,3.81,1.62,1.83,6.86,1.52,1.83,4.0,1.71,2.21,4.86,2.0,1,1,1,1,1,2
53,"Rocky Flats, CO, Site",RFS,CO,1.09,4.24,0.79,1.52,2.81,0.97,2.62,0.86,1.26,2.28,1.35,5.43,1.19,1.24,3.19,1.14,1.31,3.33,1.05,1.33,5.14,1.12,1.32,3.1,1.19,1.43,3.48,1.24,1,1,1,1,1,1
54,"Rulison, CO, Site",RUL,CO,1.19,4.81,0.83,1.6,3.23,1.29,3.62,1.0,1.64,3.14,1.59,6.19,1.43,1.54,3.86,1.29,1.56,4.0,1.29,1.74,6.29,1.52,1.75,3.9,1.43,2.21,4.76,2.0,1,1,1,1,1,2
55,"Salmon, MS, Site",SAL,MS,1.53,5.29,1.29,2.17,3.85,1.65,4.0,1.43,2.22,3.62,1.93,6.57,1.69,1.93,4.33,1.62,2.15,4.52,2.0,2.17,7.24,1.83,2.07,4.52,2.0,2.44,5.48,2.24,1,1,1,1,1,2
