,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,rcp45_mean,rcp45_std,rcp45_min,rcp85_mean,rcp85_std,rcp85_min,hist_10yr_mean,hist_10yr_min,hist_10yr_std,mid_rcp45_mean,mid_rcp45_min,late_rcp45_mean,late_rcp45_min,mid_rcp85_mean,mid_rcp85_min,late_rcp85_mean,late_rcp85_min,recent_30yr_mean,recent_30yr_min,zscore_rcp45,shifting_rcp45,zscore_rcp85,shifting_rcp85,zscore_mid_rcp45,shifting_mid_rcp45,zscore_late_rcp45,shifting_late_rcp45,zscore_mid_rcp85,shifting_mid_rcp85,zscore_late_rcp85,shifting_late_rcp85
17,"George West, TX, Calibration Model",GWC,TX,-0.02,0.32,-0.84,-0.29,0.32,-1.04,-0.59,0.39,-1.74,0.1,-0.23,0.31,-0.1,-0.37,-0.32,-0.83,-0.52,-0.93,-1.02,-1.74,-0.03,-0.84,-0.85,1,-1.81,2,-0.63,1,-1.33,2,-1.96,2,-3.57,3
18,"Gnome-Coach, NM, Site",GNO,NM,-0.01,0.29,-0.59,-0.36,0.28,-0.96,-0.57,0.39,-1.45,-0.05,-0.42,0.18,-0.23,-0.44,-0.45,-0.82,-0.57,-1.19,-0.96,-1.41,-0.06,-0.59,-1.19,2,-1.92,2,-0.94,1,-2.13,3,-2.81,3,-4.93,3
19,"Grand Junction Regional Airport, CO, Calibration Model",GAC,CO,-0.0,0.26,-0.46,-0.29,0.31,-1.16,-0.56,0.4,-1.48,-0.13,-0.34,0.16,-0.05,-0.4,-0.3,-0.71,-0.49,-1.25,-0.9,-1.43,-0.05,-0.46,-1.08,2,-2.13,3,0.52,0,-1.01,2,-2.16,3,-4.71,3
20,"Grand Junction, CO, Calibration Model",GJC,CO,-0.0,0.26,-0.44,-0.31,0.3,-1.13,-0.61,0.4,-1.53,-0.13,-0.35,0.16,-0.08,-0.43,-0.3,-0.67,-0.52,-1.19,-0.96,-1.43,-0.05,-0.44,-1.17,2,-2.31,3,0.31,0,-1.07,2,-2.4,3,-5.23,3
21,"Grand Junction, CO, Disposal Site",GRJ,CO,-0.01,0.27,-0.53,-0.29,0.29,-1.19,-0.54,0.39,-1.53,-0.13,-0.38,0.17,-0.06,-0.44,-0.31,-0.6,-0.5,-1.28,-0.91,-1.53,-0.06,-0.53,-1.05,2,-1.97,2,0.46,0,-1.05,2,-2.19,3,-4.6,3
22,"Grand Junction, CO, Processing Site",GJT,CO,-0.0,0.26,-0.46,-0.29,0.31,-1.16,-0.56,0.4,-1.48,-0.13,-0.34,0.16,-0.05,-0.4,-0.3,-0.71,-0.49,-1.25,-0.9,-1.43,-0.05,-0.46,-1.08,2,-2.13,3,0.52,0,-1.01,2,-2.16,3,-4.71,3
23,"Grand Junction, CO, Site",GJO,CO,-0.0,0.26,-0.44,-0.31,0.3,-1.13,-0.61,0.4,-1.53,-0.13,-0.35,0.16,-0.08,-0.43,-0.3,-0.67,-0.52,-1.19,-0.96,-1.43,-0.05,-0.44,-1.17,2,-2.31,3,0.31,0,-1.07,2,-2.4,3,-5.23,3
24,"Grants, NM, Calibration Model",GNC,NM,-0.02,0.33,-0.59,-0.38,0.29,-1.03,-0.7,0.43,-1.62,-0.07,-0.38,0.18,-0.26,-0.6,-0.37,-0.93,-0.6,-1.28,-1.16,-1.62,-0.13,-0.59,-1.11,2,-2.08,3,-1.04,2,-1.68,2,-2.96,3,-6.03,3
25,"Green River, UT, Disposal Site",GRN,UT,-0.0,0.29,-0.48,-0.32,0.28,-1.15,-0.59,0.36,-1.46,-0.15,-0.4,0.19,-0.16,-0.44,-0.39,-0.83,-0.62,-1.07,-0.94,-1.46,-0.09,-0.48,-1.08,2,-2.01,3,-0.04,1,-1.25,2,-2.49,3,-4.16,3
26,"Gunnison, CO, Disposal Site",GUD,CO,-0.01,0.24,-0.45,-0.16,0.32,-1.07,-0.45,0.41,-1.48,-0.08,-0.31,0.16,0.12,-0.23,-0.08,-0.47,-0.53,-1.16,-0.86,-1.48,-0.03,-0.45,-0.61,1,-1.82,2,1.31,0,0.02,0,-2.84,3,-4.96,3
27,"Gunnison, CO, Processing Site",GUP,CO,-0.01,0.25,-0.46,-0.13,0.32,-1.06,-0.41,0.4,-1.43,-0.09,-0.27,0.15,0.1,-0.25,-0.06,-0.48,-0.49,-1.13,-0.81,-1.43,-0.03,-0.46,-0.5,1,-1.6,2,1.27,0,0.24,0,-2.58,3,-4.67,3
28,"Hallam, NE, Decommissioned Reactor Site",HAL,NE,0.0,0.19,-0.32,0.02,0.27,-0.77,-0.19,0.3,-1.11,-0.02,-0.19,0.12,-0.03,-0.49,0.1,-0.34,-0.13,-0.4,-0.49,-1.11,-0.09,-0.59,0.08,0,-1.02,2,-0.06,1,0.97,0,-0.86,1,-3.75,3
29,"L-Bar, NM, Disposal Site",BAR,NM,-0.01,0.34,-0.58,-0.39,0.3,-0.98,-0.69,0.39,-1.59,-0.07,-0.39,0.19,-0.35,-0.66,-0.45,-0.98,-0.59,-1.29,-1.11,-1.59,-0.11,-0.58,-1.11,2,-2.01,3,-1.49,2,-2.0,2,-2.73,3,-5.43,3
30,"Laboratory for Energy-Related Health Research, CA, Site",LEH,CA,0.0,0.3,-0.74,-0.04,0.3,-0.64,-0.18,0.31,-1.04,-0.19,-0.74,0.26,-0.04,-0.41,0.08,-0.22,-0.04,-0.49,-0.41,-1.04,-0.01,-0.74,-0.16,1,-0.63,1,0.58,0,1.03,0,0.57,0,-0.82,1
31,"Lakeview, OR, Disposal Site",LKD,OR,0.0,0.29,-0.61,0.07,0.31,-0.61,-0.04,0.31,-0.64,-0.19,-0.61,0.17,0.07,-0.46,0.3,-0.33,0.03,-0.34,0.02,-0.46,0.02,-0.61,0.23,0,-0.16,1,1.58,0,2.96,0,1.29,0,1.29,0
32,"Lakeview, OR, Processing Site",LKP,OR,0.0,0.29,-0.61,0.07,0.31,-0.61,-0.04,0.31,-0.64,-0.19,-0.61,0.17,0.07,-0.46,0.3,-0.33,0.03,-0.34,0.02,-0.46,0.02,-0.61,0.23,0,-0.16,1,1.58,0,2.96,0,1.29,0,1.29,0
33,"Lowman, ID, Disposal Site",LOW,ID,0.01,0.28,-0.6,0.0,0.31,-0.6,-0.09,0.33,-0.99,-0.18,-0.6,0.21,0.02,-0.48,0.35,0.07,0.05,-0.48,-0.13,-0.61,0.02,-0.6,-0.02,1,-0.37,1,0.97,0,2.59,0,1.15,0,0.27,0
34,"Maxey Flats, KY, Disposal Site",MAX,KY,-0.0,0.27,-0.77,0.18,0.37,-0.68,0.29,0.36,-0.65,0.02,-0.32,0.24,0.04,-0.34,0.28,-0.11,0.3,-0.32,0.05,-0.58,-0.01,-0.77,0.69,0,1.09,0,0.06,0,1.04,0,1.14,0,0.11,0
35,"Maybell West, CO, Disposal Site",MAW,CO,-0.01,0.25,-0.42,-0.24,0.34,-1.15,-0.59,0.4,-1.56,-0.14,-0.35,0.16,-0.14,-0.55,-0.21,-0.49,-0.51,-1.04,-0.96,-1.36,-0.03,-0.42,-0.96,1,-2.39,3,-0.01,1,-0.42,1,-2.3,3,-5.05,3
36,"Maybell, CO, Disposal Site",MAY,CO,-0.01,0.25,-0.42,-0.24,0.34,-1.15,-0.59,0.4,-1.56,-0.14,-0.35,0.16,-0.14,-0.55,-0.21,-0.49,-0.51,-1.04,-0.96,-1.36,-0.03,-0.42,-0.96,1,-2.39,3,-0.01,1,-0.42,1,-2.3,3,-5.05,3
37,"Mexican Hat, UT, Disposal Site",HAT,UT,-0.01,0.29,-0.51,-0.37,0.28,-1.22,-0.61,0.37,-1.66,-0.1,-0.29,0.16,-0.27,-0.36,-0.39,-0.86,-0.61,-1.08,-1.03,-1.66,-0.08,-0.51,-1.24,2,-2.09,3,-1.05,2,-1.83,2,-3.21,3,-5.88,3
