,Name,NameMnemonic,StateCode,hist_mean,hist_max,hist_median,hist_70p,hist_95p,hist_10yr_mean,hist_10yr_max,hist_10yr_median,hist_10yr_70p,hist_10yr_95p,rcp45_mean,rcp45_max,rcp45_median,mid_rcp45_mean,mid_rcp45_max,mid_rcp45_median,late_rcp45_mean,late_rcp45_max,late_rcp45_median,rcp85_mean,rcp85_max,rcp85_median,mid_rcp85_mean,mid_rcp85_max,mid_rcp85_median,late_rcp85_mean,late_rcp85_max,late_rcp85_median,shifting_rcp45,shifting_rcp85,shifting_mid_rcp45,shifting_late_rcp45,shifting_mid_rcp85,shifting_late_rcp85
25,"Green River, UT, Disposal Site",GRN,UT,1133.09,1535.74,1128.93,1205.02,1401.86,1264.5,1491.5,1276.88,1337.91,1462.22,1791.45,2457.24,1808.03,1832.03,2087.66,1828.32,2034.77,2302.63,2025.28,2152.65,3495.46,2092.79,2013.07,2330.66,2003.74,2920.29,3327.13,2914.43,3,3,3,3,3,3
26,"Gunnison, CO, Disposal Site",GUD,CO,0.92,18.7,0.0,0.18,4.78,2.22,11.31,0.22,1.85,8.71,18.7,129.12,9.33,17.77,51.77,11.69,36.17,87.49,31.94,88.11,501.35,36.03,33.88,86.25,27.77,237.23,417.72,224.7,3,3,3,3,3,3
27,"Gunnison, CO, Processing Site",GUP,CO,0.92,18.7,0.0,0.18,4.78,2.22,11.31,0.22,1.85,8.71,18.7,129.12,9.33,17.77,51.77,11.69,36.17,87.49,31.94,88.11,501.35,36.03,33.88,86.25,27.77,237.23,417.72,224.7,3,3,3,3,3,3
28,"Hallam, NE, Decommissioned Reactor Site",HAL,NE,1062.1,1480.01,1048.44,1139.28,1355.88,1148.54,1408.97,1149.22,1218.19,1366.28,1676.28,2408.33,1683.72,1725.15,2026.32,1701.95,1882.5,2213.65,1869.7,2011.15,3375.64,1955.92,1900.45,2202.86,1901.05,2796.09,3243.73,2785.1,3,3,3,3,3,3
29,"L-Bar, NM, Disposal Site",BAR,NM,318.28,587.87,315.87,366.04,492.32,386.83,562.22,390.51,429.73,530.11,753.91,1259.9,755.5,786.03,988.96,781.49,931.66,1135.0,937.04,1032.17,2152.99,972.7,908.37,1161.63,898.63,1627.41,1980.72,1612.48,3,3,3,3,3,3
30,"Laboratory for Energy-Related Health Research, CA, Site",LEH,CA,1062.25,1436.3,1053.33,1131.09,1288.04,1169.44,1403.97,1152.75,1216.35,1364.0,1692.24,2293.1,1710.99,1705.39,1963.85,1689.7,1911.79,2140.09,1911.96,2030.36,3234.2,1982.92,1923.22,2186.79,1915.59,2788.4,3104.49,2762.74,3,3,3,3,3,3
31,"Lakeview, OR, Disposal Site",LKD,OR,126.88,327.56,115.61,148.91,238.29,174.5,307.33,167.35,201.89,281.63,415.8,817.36,413.7,414.17,580.34,413.75,543.89,714.92,535.42,633.76,1485.38,567.02,542.51,753.94,529.83,1145.57,1391.32,1134.18,3,3,3,3,3,3
32,"Lakeview, OR, Processing Site",LKP,OR,185.86,420.76,173.68,214.37,321.92,245.22,399.01,236.72,277.08,370.11,521.64,963.41,522.13,520.61,702.2,521.12,663.2,851.33,653.98,757.11,1670.24,687.46,663.17,893.77,651.45,1304.34,1568.24,1291.73,3,3,3,3,3,3
33,"Lowman, ID, Disposal Site",LOW,ID,73.17,225.86,64.51,88.61,157.9,104.6,196.56,100.81,127.49,179.69,298.19,663.64,294.2,306.93,454.77,306.53,412.0,598.77,400.97,499.33,1287.31,436.41,407.42,585.69,391.93,962.87,1221.71,949.08,3,3,3,3,3,3
34,"Maxey Flats, KY, Disposal Site",MAX,KY,1084.18,1461.08,1067.15,1157.09,1329.63,1200.65,1396.27,1197.77,1264.39,1369.77,1681.55,2274.0,1705.09,1733.5,1981.02,1734.73,1873.22,2143.57,1854.54,2027.64,3270.73,1954.54,1888.66,2146.84,1887.93,2797.21,3147.61,2784.98,3,3,3,3,3,3
35,"Maybell West, CO, Disposal Site",MAW,CO,160.83,384.97,150.71,195.51,300.1,216.12,352.79,213.95,248.15,333.67,482.17,923.56,478.82,514.11,692.87,502.66,625.9,825.57,613.44,722.02,1696.8,654.07,609.24,800.84,607.53,1230.89,1560.05,1222.2,3,3,3,3,3,3
