,Name,NameMnemonic,StateCode,hist_mean,hist_max,hist_median,hist_70p,hist_95p,hist_10yr_mean,hist_10yr_max,hist_10yr_median,hist_10yr_70p,hist_10yr_95p,rcp45_mean,rcp45_max,rcp45_median,mid_rcp45_mean,mid_rcp45_max,mid_rcp45_median,late_rcp45_mean,late_rcp45_max,late_rcp45_median,rcp85_mean,rcp85_max,rcp85_median,mid_rcp85_mean,mid_rcp85_max,mid_rcp85_median,late_rcp85_mean,late_rcp85_max,late_rcp85_median,shifting_rcp45,shifting_rcp85,shifting_mid_rcp45,shifting_late_rcp45,shifting_mid_rcp85,shifting_late_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,6180.67,6986.68,6178.07,6365.48,6728.71,5965.1,6440.59,5949.83,6096.0,6382.0,5096.57,6211.47,5052.71,5029.83,5413.89,5017.3,4766.44,5117.18,4784.47,4695.22,6297.89,4710.37,4819.25,5216.16,4815.77,3769.46,4194.07,3757.43,0,0,0,0,0,0
1,"Amchitka, AK, Site",AMC,AK,9125.36,9858.99,9116.38,9282.97,9602.83,8919.95,9267.41,8910.23,9020.96,9219.84,7951.68,9090.72,7896.3,7932.39,8241.7,7929.83,7540.41,7829.76,7530.73,7436.34,9053.32,7512.67,7657.64,8106.92,7624.59,6179.79,6664.43,6153.13,0,0,0,0,0,0
2,"Bluewater, NM, Disposal Site",BLU,NM,6180.67,6986.68,6178.07,6365.48,6728.71,5965.1,6440.59,5949.83,6096.0,6382.0,5096.57,6211.47,5052.71,5029.83,5413.89,5017.3,4766.44,5117.18,4784.47,4695.22,6297.89,4710.37,4819.25,5216.16,4815.77,3769.46,4194.07,3757.43,0,0,0,0,0,0
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,0.0,0.16,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
4,"Bronco, CO, Site",BRO,CO,7268.82,8160.11,7288.18,7495.6,7895.62,7032.85,7591.73,7026.82,7236.53,7513.93,6027.38,7397.59,6006.42,5959.08,6467.49,5985.52,5636.68,6094.81,5631.98,5565.66,7481.0,5589.32,5732.58,6228.95,5742.14,4488.35,4998.98,4467.94,0,0,0,0,0,0
5,"Burrell, PA, Disposal Site",BUR,PA,5752.9,6736.36,5762.59,5975.77,6406.02,5521.11,5976.03,5522.12,5699.57,5923.04,4795.69,6036.4,4773.83,4809.69,5251.89,4851.26,4509.76,4947.38,4535.76,4456.9,6003.79,4456.49,4566.04,5092.04,4576.08,3641.49,4115.24,3617.67,0,0,0,0,0,0
6,"Burris Park, CA, Site",BRP,CA,2014.67,2573.76,2013.32,2135.94,2371.44,1916.63,2256.31,1914.43,2024.27,2202.06,1499.04,2200.03,1483.58,1457.51,1755.96,1444.29,1328.98,1608.88,1327.09,1322.18,2258.32,1316.77,1359.09,1638.37,1351.58,897.51,1163.12,898.66,0,0,0,0,0,0
7,"Canonsburg, PA, Disposal Site",CAN,PA,5569.58,6530.31,5578.09,5790.36,6208.88,5346.27,5789.0,5346.21,5524.8,5739.79,4635.79,5838.8,4615.97,4649.87,5092.03,4686.37,4355.94,4784.97,4380.39,4304.4,5812.1,4302.38,4411.93,4929.19,4421.49,3505.72,3969.17,3482.81,0,0,0,0,0,0
8,"Casper, WY, Calibration Model",CSC,WY,6913.47,7793.4,6916.61,7123.59,7531.56,6711.92,7217.61,6703.15,6873.23,7153.68,5804.67,7033.66,5777.22,5739.83,6274.21,5733.2,5457.03,5963.51,5494.57,5390.7,7132.5,5426.85,5538.85,6004.54,5552.77,4430.48,4898.08,4432.89,0,0,0,0,0,0
9,"Central Nevada Test Area, NV",CNT,NV,6057.27,7025.04,6066.45,6264.01,6673.9,5854.41,6442.41,5830.12,6027.14,6347.89,4954.22,6217.27,4912.21,4889.96,5363.79,4854.85,4623.36,5081.11,4613.35,4576.13,6312.47,4582.58,4697.06,5169.69,4665.18,3670.37,4151.19,3644.82,0,0,0,0,0,0
10,"Colonie, NY, Site",CLN,NY,6552.75,7408.46,6560.38,6747.12,7126.62,6319.65,6702.59,6321.99,6454.94,6656.84,5473.68,6630.6,5432.76,5476.7,5860.13,5496.87,5126.31,5498.09,5145.01,5080.41,6562.16,5088.12,5195.85,5628.81,5197.97,4143.35,4536.25,4125.36,0,0,0,0,0,0
11,"Durango, CO, Disposal Site",DUD,CO,6428.31,7302.28,6440.14,6643.58,7005.33,6209.82,6783.68,6185.58,6373.17,6692.0,5288.31,6488.92,5244.86,5212.4,5636.02,5207.12,4949.14,5338.62,4950.47,4878.57,6649.94,4897.65,5008.43,5429.5,5029.15,3921.81,4392.33,3892.21,0,0,0,0,0,0
12,"Durango, CO, Processing Site",DUP,CO,8188.17,9139.42,8210.38,8422.62,8826.68,7923.01,8538.94,7893.95,8119.09,8439.01,6818.43,8201.25,6764.6,6724.16,7197.79,6721.71,6404.37,6811.54,6412.43,6321.0,8332.86,6343.29,6474.65,6940.74,6500.51,5177.24,5664.08,5140.5,0,0,0,0,0,0
13,"Edgemont, SD, Disposal Site",EDG,SD,6341.17,7237.08,6352.39,6539.0,6951.08,6166.07,6611.82,6182.71,6331.39,6554.72,5369.24,6569.93,5344.87,5301.83,5850.91,5285.33,5064.94,5554.76,5092.71,5007.42,6601.49,5024.47,5130.42,5583.71,5141.66,4159.02,4598.76,4154.59,0,0,0,0,0,0
14,"Falls City, TX, Disposal Site",FCT,TX,1100.82,1514.13,1095.96,1185.84,1391.74,1025.58,1254.07,1025.86,1090.73,1219.66,762.53,1268.6,750.68,754.74,983.33,749.2,645.23,818.99,639.94,646.06,1306.43,633.74,681.89,921.74,669.79,379.48,580.27,364.78,0,0,0,0,0,0
15,"Fernald Preserve, OH, Site",FER,OH,5101.68,5980.83,5114.61,5309.75,5670.82,4924.03,5346.04,4902.83,5080.35,5295.85,4251.23,5379.15,4227.8,4261.66,4713.34,4269.07,3997.39,4396.21,4016.4,3959.73,5379.36,3953.7,4057.52,4538.18,4036.53,3237.31,3673.72,3212.17,0,0,0,0,0,0
16,"Gasbuggy, NM, Site",GSB,NM,6706.44,7582.33,6707.11,6908.77,7288.2,6480.64,7024.64,6455.82,6623.41,6943.52,5574.92,6760.42,5525.33,5496.66,5912.2,5489.06,5234.12,5614.08,5243.08,5163.03,6899.56,5184.52,5287.81,5690.32,5294.77,4206.55,4672.59,4180.67,0,0,0,0,0,0
17,"George West, TX, Calibration Model",GWC,TX,898.23,1277.79,893.09,974.35,1162.98,829.86,1043.78,827.41,885.56,1010.69,602.4,1061.76,589.69,596.43,802.03,592.8,497.55,652.02,493.15,505.19,1103.4,489.52,533.44,755.31,519.59,280.84,452.72,266.27,0,0,0,0,0,0
18,"Gnome-Coach, NM, Site",GNO,NM,2549.14,3049.14,2553.62,2656.46,2870.69,2437.89,2734.35,2422.93,2510.98,2677.75,1959.99,2614.46,1948.03,1934.82,2184.86,1943.24,1763.73,2000.81,1777.15,1737.69,2680.99,1752.58,1812.72,2078.07,1804.72,1224.77,1507.58,1217.77,0,0,0,0,0,0
19,"Grand Junction Regional Airport, CO, Calibration Model",GAC,CO,5674.09,6514.57,5687.62,5888.58,6275.34,5481.91,6042.61,5477.07,5668.85,5960.16,4626.89,5859.97,4600.09,4564.23,5036.76,4581.58,4308.31,4712.63,4309.9,4245.61,5953.53,4256.8,4380.63,4845.61,4374.9,3357.88,3812.38,3319.23,0,0,0,0,0,0
20,"Grand Junction, CO, Calibration Model",GJC,CO,5674.09,6514.57,5687.62,5888.58,6275.34,5481.91,6042.61,5477.07,5668.85,5960.16,4626.89,5859.97,4600.09,4564.23,5036.76,4581.58,4308.31,4712.63,4309.9,4245.61,5953.53,4256.8,4380.63,4845.61,4374.9,3357.88,3812.38,3319.23,0,0,0,0,0,0
21,"Grand Junction, CO, Disposal Site",GRJ,CO,6076.08,6916.65,6093.0,6292.74,6669.4,5873.86,6429.79,5868.0,6056.88,6346.29,4977.51,6216.61,4948.56,4911.03,5383.43,4929.94,4645.21,5048.08,4649.76,4578.95,6332.67,4592.62,4715.2,5173.39,4718.87,3653.15,4110.93,3618.08,0,0,0,0,0,0
22,"Grand Junction, CO, Processing Site",GJT,CO,5674.09,6514.57,5687.62,5888.58,6275.34,5481.91,6042.61,5477.07,5668.85,5960.16,4626.89,5859.97,4600.09,4564.23,5036.76,4581.58,4308.31,4712.63,4309.9,4245.61,5953.53,4256.8,4380.63,4845.61,4374.9,3357.88,3812.38,3319.23,0,0,0,0,0,0
23,"Grand Junction, CO, Site",GJO,CO,5674.09,6514.57,5687.62,5888.58,6275.34,5481.91,6042.61,5477.07,5668.85,5960.16,4626.89,5859.97,4600.09,4564.23,5036.76,4581.58,4308.31,4712.63,4309.9,4245.61,5953.53,4256.8,4380.63,4845.61,4374.9,3357.88,3812.38,3319.23,0,0,0,0,0,0
24,"Grants, NM, Calibration Model",GNC,NM,6180.67,6986.68,6178.07,6365.48,6728.71,5965.1,6440.59,5949.83,6096.0,6382.0,5096.57,6211.47,5052.71,5029.83,5413.89,5017.3,4766.44,5117.18,4784.47,4695.22,6297.89,4710.37,4819.25,5216.16,4815.77,3769.46,4194.07,3757.43,0,0,0,0,0,0
25,"Green River, UT, Disposal Site",GRN,UT,5225.39,6085.69,5233.96,5425.8,5839.69,5056.19,5636.4,5050.26,5222.96,5544.86,4241.29,5445.01,4211.24,4179.23,4621.47,4185.87,3951.52,4315.72,3958.19,3899.55,5559.79,3898.42,4020.68,4502.86,4017.09,3085.16,3520.31,3042.65,0,0,0,0,0,0
26,"Gunnison, CO, Disposal Site",GUD,CO,10296.64,11241.46,10331.15,10537.94,10930.92,10015.43,10598.78,10002.88,10208.75,10503.24,8825.35,10307.3,8786.43,8720.55,9288.67,8722.34,8333.44,8783.74,8340.49,8225.86,10409.62,8262.83,8412.78,8915.11,8430.86,6890.45,7378.15,6860.16,0,0,0,0,0,0
27,"Gunnison, CO, Processing Site",GUP,CO,10296.64,11241.46,10331.15,10537.94,10930.92,10015.43,10598.78,10002.88,10208.75,10503.24,8825.35,10307.3,8786.43,8720.55,9288.67,8722.34,8333.44,8783.74,8340.49,8225.86,10409.62,8262.83,8412.78,8915.11,8430.86,6890.45,7378.15,6860.16,0,0,0,0,0,0
28,"Hallam, NE, Decommissioned Reactor Site",HAL,NE,5837.33,6735.43,5834.36,6034.52,6453.53,5688.75,6166.74,5717.5,5840.32,6094.44,4962.13,6152.54,4938.9,4906.55,5435.24,4895.77,4697.48,5119.51,4705.67,4627.03,6166.68,4638.44,4751.02,5201.99,4744.73,3860.96,4325.18,3869.18,0,0,0,0,0,0
29,"L-Bar, NM, Disposal Site",BAR,NM,5584.31,6349.06,5576.91,5759.09,6101.95,5386.37,5832.2,5365.75,5506.81,5773.38,4586.27,5626.18,4543.02,4526.25,4889.4,4512.86,4280.81,4615.51,4295.54,4213.85,5711.89,4226.76,4331.92,4699.91,4323.23,3352.78,3767.52,3334.8,0,0,0,0,0,0
30,"Laboratory for Energy-Related Health Research, CA, Site",LEH,CA,2319.04,2915.84,2313.06,2439.21,2693.41,2219.76,2586.53,2208.04,2312.42,2517.19,1763.31,2508.52,1742.9,1716.58,2062.17,1701.0,1587.96,1902.06,1584.73,1569.16,2562.53,1569.86,1622.8,1912.92,1610.54,1097.19,1384.91,1091.77,0,0,0,0,0,0
31,"Lakeview, OR, Disposal Site",LKD,OR,6865.9,7824.98,6857.26,7056.58,7480.31,6653.85,7227.08,6644.94,6795.74,7111.24,5734.49,6977.88,5690.1,5669.89,6235.86,5621.93,5387.82,5866.98,5359.76,5345.62,7008.33,5365.72,5470.92,5913.54,5450.04,4421.2,4838.9,4414.49,0,0,0,0,0,0
32,"Lakeview, OR, Processing Site",LKP,OR,6418.08,7365.49,6407.13,6602.45,7025.18,6214.67,6788.21,6204.36,6351.59,6672.78,5330.24,6540.84,5284.42,5265.9,5818.22,5221.94,4998.82,5471.83,4967.41,4958.71,6577.58,4976.31,5079.88,5518.22,5058.06,4071.07,4487.36,4059.99,0,0,0,0,0,0
33,"Lowman, ID, Disposal Site",LOW,ID,8046.63,8987.06,8058.54,8269.88,8703.86,7802.4,8415.44,7789.58,7986.42,8305.38,6696.02,8165.09,6636.32,6614.15,7247.96,6572.63,6291.14,6862.25,6308.34,6218.7,8156.67,6218.14,6358.61,6898.32,6355.41,5101.83,5610.18,5080.9,0,0,0,0,0,0
34,"Maxey Flats, KY, Disposal Site",MAX,KY,4577.75,5460.66,4579.24,4782.72,5160.22,4397.03,4819.05,4377.22,4559.06,4764.54,3800.06,4894.17,3786.31,3808.86,4251.9,3819.9,3572.6,3982.46,3589.76,3531.42,4901.98,3528.18,3618.08,4123.42,3617.81,2872.7,3329.06,2845.33,0,0,0,0,0,0
35,"Maybell West, CO, Disposal Site",MAW,CO,7623.62,8527.03,7640.14,7853.83,8249.31,7377.73,7938.83,7367.5,7576.77,7860.67,6354.22,7731.95,6326.67,6283.47,6794.09,6318.59,5954.11,6405.25,5954.09,5883.48,7816.57,5904.89,6052.3,6538.11,6061.3,4786.36,5299.79,4762.35,0,0,0,0,0,0
36,"Maybell, CO, Disposal Site",MAY,CO,8135.55,9058.07,8150.39,8371.47,8770.18,7872.04,8443.23,7858.95,8068.46,8363.87,6802.92,8202.91,6773.54,6724.5,7241.1,6762.51,6386.41,6830.28,6394.24,6309.42,8292.77,6330.26,6482.2,6970.07,6489.6,5166.6,5678.93,5142.86,0,0,0,0,0,0
37,"Mexican Hat, UT, Disposal Site",HAT,UT,4766.12,5556.8,4776.99,4943.75,5310.9,4601.05,5122.89,4598.06,4730.12,5050.56,3845.62,4897.88,3812.32,3789.93,4153.35,3791.85,3584.41,3913.3,3587.22,3517.95,5017.64,3530.43,3618.88,3999.16,3621.67,2750.38,3141.46,2709.86,0,0,0,0,0,0
38,"Monticello, UT, Disposal and Processing Sites",MNT,UT,6899.69,7786.86,6912.16,7130.49,7509.11,6676.41,7268.78,6658.89,6839.14,7177.9,5712.07,6967.34,5670.3,5640.19,6066.17,5647.73,5367.05,5750.91,5373.18,5289.04,7110.51,5307.39,5425.29,5877.6,5445.57,4306.57,4759.5,4268.05,0,0,0,0,0,0
39,"Monument Valley, AZ, Processing Site",MON,AZ,5147.87,5932.22,5159.2,5325.96,5685.45,4972.47,5487.36,4966.48,5103.47,5418.19,4188.3,5252.21,4151.09,4131.33,4497.22,4133.61,3914.94,4250.05,3912.51,3844.04,5372.4,3857.13,3950.31,4332.76,3950.13,3040.98,3444.72,3002.36,0,0,0,0,0,0
40,"Mound, OH, Site",MND,OH,5289.11,6175.17,5302.86,5498.56,5857.86,5109.0,5532.96,5091.7,5267.1,5484.45,4417.05,5563.56,4393.06,4427.93,4883.51,4435.62,4155.09,4554.29,4169.2,4118.01,5553.69,4113.8,4217.99,4696.16,4192.81,3373.45,3814.21,3348.46,0,0,0,0,0,0
41,"Naturita, CO, Disposal Site",NAD,CO,5905.12,6768.28,5919.63,6124.66,6499.08,5707.29,6286.89,5695.94,5877.77,6197.27,4822.29,6041.62,4790.63,4756.1,5196.46,4765.73,4503.99,4893.4,4510.37,4437.37,6168.09,4451.78,4567.13,5026.57,4586.46,3537.77,3985.77,3497.1,0,0,0,0,0,0
42,"Naturita, CO, Processing Site",NAP,CO,6228.46,7094.1,6242.22,6449.51,6821.45,6021.69,6608.3,6011.23,6193.3,6513.53,5106.32,6333.59,5073.22,5037.46,5473.76,5044.35,4774.6,5171.73,4784.93,4706.72,6473.63,4720.9,4839.07,5293.61,4866.55,3774.32,4232.24,3735.75,0,0,0,0,0,0
43,"Parkersburg, WV, Disposal Site",PKB,WV,5146.58,6066.37,5154.27,5359.0,5754.35,4943.25,5377.3,4929.78,5113.93,5325.8,4281.29,5436.67,4269.94,4292.84,4732.19,4312.38,4024.18,4445.55,4045.11,3978.14,5401.42,3977.49,4076.69,4588.35,4068.2,3244.86,3704.93,3217.17,0,0,0,0,0,0
44,"Pinellas County, FL, Site",PIN,FL,349.87,651.15,339.04,400.8,550.55,306.4,453.37,305.38,349.0,426.72,215.39,493.33,205.36,223.07,363.77,208.93,176.71,286.56,171.56,177.29,515.77,157.27,184.26,318.12,176.08,85.88,158.07,81.74,0,0,0,0,0,0
45,"Piqua, OH, Decommissioned Reactor Site",PIQ,OH,5848.14,6750.47,5862.68,6061.94,6421.24,5659.35,6094.91,5649.67,5820.95,6044.69,4918.3,6096.44,4894.12,4928.21,5388.25,4940.56,4637.15,5040.39,4649.52,4595.28,6076.04,4592.63,4704.02,5178.43,4671.39,3792.09,4236.78,3768.48,0,0,0,0,0,0
46,"Pre-Gondola and Trencher, MT, Site",PGD,MT,8209.86,9415.15,8209.98,8465.77,9011.74,8012.25,8650.91,8051.75,8274.89,8560.06,7091.83,8610.65,7055.56,7020.71,7650.88,7002.07,6742.74,7376.86,6760.13,6682.31,8591.91,6690.25,6842.18,7396.08,6841.31,5724.09,6309.58,5723.86,0,0,0,0,0,0
47,"Pre-Schooner II, ID, Site",PSC,ID,6308.77,7260.47,6310.68,6527.41,6939.56,6093.11,6669.0,6059.22,6279.83,6586.13,5134.14,6478.7,5079.55,5060.94,5651.09,5020.69,4791.91,5312.38,4799.25,4747.83,6503.29,4738.6,4860.88,5357.66,4838.01,3828.08,4286.44,3808.54,0,0,0,0,0,0
48,"Rifle New, CO, Processing Site",RFN,CO,8356.5,9286.94,8380.58,8601.39,8996.22,8084.19,8669.27,8072.84,8289.05,8577.3,6971.73,8377.03,6935.88,6885.61,7403.5,6918.46,6542.67,6970.06,6555.4,6459.43,8488.43,6500.32,6629.49,7125.37,6652.87,5283.19,5779.02,5252.61,0,0,0,0,0,0
49,"Rifle Old, CO, Processing Site",RFO,CO,8356.5,9286.94,8380.58,8601.39,8996.22,8084.19,8669.27,8072.84,8289.05,8577.3,6971.73,8377.03,6935.88,6885.61,7403.5,6918.46,6542.67,6970.06,6555.4,6459.43,8488.43,6500.32,6629.49,7125.37,6652.87,5283.19,5779.02,5252.61,0,0,0,0,0,0
50,"Rifle, CO, Disposal Site",RFL,CO,8356.5,9286.94,8380.58,8601.39,8996.22,8084.19,8669.27,8072.84,8289.05,8577.3,6971.73,8377.03,6935.88,6885.61,7403.5,6918.46,6542.67,6970.06,6555.4,6459.43,8488.43,6500.32,6629.49,7125.37,6652.87,5283.19,5779.02,5252.61,0,0,0,0,0,0
51,"Rio Blanco, CO, Site",RBL,CO,7579.08,8481.76,7604.21,7814.92,8217.86,7331.27,7900.15,7323.41,7538.2,7819.91,6294.17,7681.67,6273.02,6221.16,6729.81,6250.34,5893.91,6345.16,5890.51,5816.83,7772.41,5843.32,5987.52,6488.32,6007.74,4709.23,5221.03,4685.79,0,0,0,0,0,0
52,"Riverton, WY, Processing Site",RVT,WY,7137.77,7969.2,7147.42,7343.51,7753.87,6937.67,7473.73,6928.47,7095.01,7397.08,5983.77,7269.02,5958.01,5922.51,6447.97,5939.23,5620.9,6122.26,5648.5,5556.98,7372.01,5587.06,5717.49,6204.7,5725.02,4547.56,5031.35,4549.63,0,0,0,0,0,0
53,"Rocky Flats, CO, Site",RFS,CO,6081.25,6912.5,6085.12,6268.03,6622.43,5889.67,6371.11,5891.83,6034.47,6297.95,5042.16,6192.13,5016.27,4977.48,5441.29,4960.77,4712.36,5110.5,4728.27,4662.46,6303.52,4686.39,4774.57,5175.82,4766.89,3783.47,4207.95,3774.55,0,0,0,0,0,0
54,"Rulison, CO, Site",RUL,CO,8929.7,9870.62,8956.03,9179.62,9580.63,8647.93,9244.1,8636.01,8852.09,9148.91,7487.2,8929.49,7444.89,7392.71,7927.53,7421.11,7036.87,7471.22,7049.91,6949.47,9047.29,6995.94,7124.42,7632.5,7143.76,5722.64,6222.29,5688.14,0,0,0,0,0,0
55,"Salmon, MS, Site",SAL,MS,1718.35,2293.9,1712.23,1845.76,2101.87,1618.93,1906.15,1629.13,1718.33,1872.33,1314.97,1959.7,1312.35,1319.48,1630.83,1317.32,1196.96,1451.25,1203.97,1184.25,1988.37,1175.53,1225.27,1525.04,1218.03,850.93,1119.79,834.31,0,0,0,0,0,0
56,"Salt Lake City, UT, Disposal Site",SLD,UT,5437.93,6354.06,5453.12,5638.28,6033.44,5249.34,5794.23,5219.33,5439.54,5721.28,4390.76,5646.25,4356.15,4327.03,4838.66,4312.69,4092.25,4494.52,4096.23,4050.03,5691.22,4042.15,4153.24,4600.93,4144.69,3223.08,3641.89,3206.77,0,0,0,0,0,0
57,"Salt Lake City, UT, Processing Site",SLP,UT,5927.86,6859.8,5947.41,6139.97,6545.83,5715.41,6269.59,5713.82,5907.63,6201.61,4773.21,6082.73,4727.06,4701.87,5218.61,4695.99,4442.24,4855.31,4458.2,4395.12,6149.11,4383.86,4515.0,5004.32,4513.51,3476.96,3927.54,3457.33,0,0,0,0,0,0
