,Name,NameMnemonic,StateCode,hist_mean,hist_max,hist_median,hist_70p,hist_95p,hist_10yr_mean,hist_10yr_max,hist_10yr_median,hist_10yr_70p,hist_10yr_95p,rcp45_mean,rcp45_max,rcp45_median,mid_rcp45_mean,mid_rcp45_max,mid_rcp45_median,late_rcp45_mean,late_rcp45_max,late_rcp45_median,rcp85_mean,rcp85_max,rcp85_median,mid_rcp85_mean,mid_rcp85_max,mid_rcp85_median,late_rcp85_mean,late_rcp85_max,late_rcp85_median,shifting_rcp45,shifting_rcp85,shifting_mid_rcp45,shifting_late_rcp45,shifting_mid_rcp85,shifting_late_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1,"Amchitka, AK, Site",AMC,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2,"Bluewater, NM, Disposal Site",BLU,NM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,0.0,0.22,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.12,0.0,0.01,0.1,0.0,0.0,0.02,0.0,0.05,4.19,0.0,0.0,0.0,0.0,0.05,0.41,0.0,0,0,0,0,0,0
4,"Bronco, CO, Site",BRO,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.53,0.0,0.0,0.0,0.0,0.06,0.52,0.0,0,0,0,0,0,0
5,"Burrell, PA, Disposal Site",BUR,PA,0.01,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,3.3,0.0,0.05,0.48,0.0,0.22,1.65,0.0,1.27,25.38,0.0,0.06,0.42,0.0,4.12,16.11,2.04,0,0,0,0,0,3
6,"Burris Park, CA, Site",BRP,CA,0.01,0.45,0.0,0.0,0.0,0.03,0.31,0.0,0.0,0.19,0.37,8.48,0.0,0.13,0.82,0.0,0.74,4.22,0.13,5.35,72.27,0.03,0.73,4.55,0.14,19.09,53.77,15.83,0,3,0,2,2,3
7,"Canonsburg, PA, Disposal Site",CAN,PA,0.02,0.77,0.0,0.0,0.01,0.03,0.24,0.0,0.0,0.14,0.15,4.28,0.0,0.08,0.68,0.0,0.37,2.38,0.0,1.67,31.0,0.0,0.18,0.81,0.0,5.61,21.18,2.69,0,0,0,0,0,3
8,"Casper, WY, Calibration Model",CSC,WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,10.93,0.0,0.0,0.0,0.0,1.15,5.9,0.59,0,0,0,0,0,3
9,"Central Nevada Test Area, NV",CNT,NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,3.39,0.0,0.0,0.02,0.0,0.51,3.12,0.08,0,0,0,0,0,3
10,"Colonie, NY, Site",CLN,NY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.59,0.0,0.01,0.09,0.0,0.01,0.1,0.0,0.75,17.75,0.0,0.02,0.18,0.0,2.33,11.18,0.98,0,0,0,0,0,3
11,"Durango, CO, Disposal Site",DUD,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.04,0.34,0.0,0,0,0,0,0,0
