,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85
Annual precipitation (mm/day),1.03,0.04,1.01,1.07,1.26,1.04,1.2,2,1
Extreme precipitation day,1.0,1.01,2.39,1.23,4.71,1.29,5.57,1,1
Annual avg Tmax (C),18.05,0.4,18.75,20.43,21.62,21.51,25.77,3,3
Maximum Daily Precipitation (mm/day),29.94,11.2,29.91,31.68,73.31,31.52,75.73,1,1
SPEI,-0.01,0.32,-0.07,-0.32,-1.01,-0.63,-1.59,1,2
Heating Degree Days,6706.44,384.54,,5574.92,6760.42,5163.03,6899.56,0,0
Extreme Degree Days,0.0,0.0,,0.0,0.0,0.0,0.0,3,3
Cooling Degree Days,196.15,84.95,,530.65,995.44,775.64,1773.11,3,3
