,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),0.86,0.05,0.96,0.93,1.06,0.93,1.11,2,2,0.87,0.92,1,0.94,2,0.94,2,1.03,3
Extreme precipitation day,0.86,0.47,4.38,0.98,5.76,1.14,5.38,1,1,1.14,1.25,1,1.53,1,1.5,1,1.86,2
Annual avg Tmax (C),18.66,0.38,19.47,21.15,22.35,22.28,26.79,3,3,19.14,21.32,3,22.04,3,21.82,3,24.75,3
Maximum Daily Precipitation (mm/day),21.86,4.87,57.24,23.86,63.63,24.5,71.22,1,1,24.16,25.63,1,26.73,1,26.37,1,29.82,2
SPEI,-0.0,0.26,-0.44,-0.31,-1.13,-0.61,-1.53,2,3,-0.13,-0.08,0,-0.3,2,-0.52,3,-0.96,3
Heating Degree Days,5687.62,200.96,6514.57,4600.09,5859.97,4256.8,5953.53,0,0,5481.91,4564.23,0,4308.31,0,4380.63,0,3357.88,0
Extreme Degree Days,0.0,0.0,0.0,0.0,0.62,0.0,24.49,0,0,0.0,0.0,0,0.08,3,0.01,0,5.36,3
Cooling Degree Days,725.2,63.94,1097.66,1299.21,1911.79,1554.48,2882.9,3,3,842.76,1334.74,3,1511.1,3,1482.16,3,2306.57,3
Wildfire,,,,17.65,,17.98,,2,2,16.28,16.17,2,19.14,2,16.77,2,19.2,2
