,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),1.3,0.06,1.3,1.43,1.65,1.43,1.71,3,3
Extreme precipitation day,1.25,1.18,3.57,1.69,6.14,1.86,6.43,1,1
Annual avg Tmax (C),14.22,0.37,14.92,16.63,17.81,17.72,21.12,3,3
Maximum Daily Precipitation (mm/day),30.98,12.03,31.59,33.04,74.48,34.33,75.43,1,1
SPEI,-0.0,0.26,-0.02,-0.16,-1.07,-0.42,-1.38,1,2
