,historical,rcp45,rcp85
1950-12-31,55.772459267505575,,
1951-12-31,51.396000957382576,,
1952-12-31,55.3310481299247,,
1953-12-31,54.49773332636271,,
1954-12-31,53.18153552444918,,
1955-12-31,58.62442565017513,,
1956-12-31,50.44081268299903,,
1957-12-31,57.91490161791444,,
1958-12-31,62.69320932083896,,
1959-12-31,56.195632461458445,,
1960-12-31,53.56345802013363,,
1961-12-31,53.8121124463422,,
1962-12-31,57.111490092107225,,
1963-12-31,57.97766578782882,,
1964-12-31,49.51609514121498,,
1965-12-31,51.88850590160915,,
1966-12-31,57.327916459845646,,
1967-12-31,55.0357269788427,,
1968-12-31,49.86181715503335,,
1969-12-31,56.965607976807014,,
1970-12-31,63.44783852941224,,
1971-12-31,52.12372976488301,,
1972-12-31,54.85131576923387,,
1973-12-31,59.74130131570356,,
1974-12-31,57.9674441766526,,
1975-12-31,58.069244905241895,,
1976-12-31,54.99571632327778,,
1977-12-31,51.98444408763732,,
1978-12-31,56.151897007865564,,
1979-12-31,62.27971554866859,,
1980-12-31,49.71942993413125,,
1981-12-31,56.53696858457157,,
1982-12-31,50.16651490171041,,
1983-12-31,55.29822651296854,,
1984-12-31,49.89785107650927,,
1985-12-31,56.85285988396832,,
1986-12-31,48.00551465845534,,
1987-12-31,57.22622146297778,,
1988-12-31,58.752085029014516,,
1989-12-31,60.91754588165453,,
1990-12-31,64.58513610331076,,
1991-12-31,54.46882821353419,,
1992-12-31,58.6237771303526,,
1993-12-31,53.48620405420661,,
1994-12-31,57.48423404459442,,
1995-12-31,55.85132591160281,,
1996-12-31,58.35700055052127,,
1997-12-31,53.352286028010504,,
1998-12-31,59.4360512016075,,
1999-12-31,57.00317434966564,,
2000-12-31,61.14207910639899,,
2001-12-31,57.27673212864569,,
2002-12-31,54.05980199575424,,
2003-12-31,57.81147360269512,,
2004-12-31,64.14597897923419,,
2005-12-31,58.70816996321082,,
2006-12-31,,59.13372170180082,59.99141491151282
2007-12-31,,51.722509254302295,73.27160075572985
2008-12-31,,64.31582543466773,61.028272858155624
2009-12-31,,57.980744460863725,64.1749840761934
2010-12-31,,58.28583543854101,60.716342367231846
2011-12-31,,54.36687505404864,63.078604439007385
2012-12-31,,55.21741981751153,59.29354735250984
2013-12-31,,62.072638595210655,70.57130886241794
2014-12-31,,55.21605009479182,60.868938865938354
2015-12-31,,60.16459652621831,59.43657064012119
2016-12-31,,60.57951893391354,59.93663055290069
