,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),2.85,0.09,3.05,3.03,3.4,3.12,3.4,2,3,2.91,3.03,2,3.08,3,3.12,3,3.27,3
Extreme precipitation day,2.12,0.74,6.43,2.79,8.57,3.48,9.52,1,2,2.4,3.1,1,3.33,2,3.62,2,4.65,3
Annual avg Tmax (C),18.4,0.37,19.62,20.57,21.65,21.55,25.29,3,3,18.87,20.65,3,21.24,3,21.19,3,23.76,3
Maximum Daily Precipitation (mm/day),44.22,6.26,83.87,47.67,97.08,53.71,115.23,1,2,46.75,51.74,1,51.34,1,56.39,2,59.72,2
SPEI,-0.0,0.26,-0.75,0.22,-0.62,0.25,-0.75,0,0,0.03,0.18,0,0.3,0,0.34,0,0.05,0
Heating Degree Days,5154.27,204.73,6066.37,4269.94,5436.67,3977.49,5401.42,0,0,4943.25,4292.84,0,4024.18,0,4076.69,0,3244.86,0
Extreme Degree Days,0.0,0.0,0.09,0.0,2.61,0.0,33.24,0,0,0.0,0.1,0,0.16,0,0.17,3,7.28,3
Cooling Degree Days,817.46,83.8,1193.32,1399.07,1934.24,1638.83,2846.84,3,3,938.71,1423.38,3,1554.58,3,1575.67,3,2414.51,3
Wildfire,,,,5.51,,4.38,,1,0,4.08,4.97,0,6.06,1,3.65,0,5.12,0
