,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),2.6,0.09,2.61,2.69,3.02,2.67,2.94,2,1
Extreme precipitation day,1.44,1.21,3.03,1.75,6.38,1.97,6.71,1,1
Annual avg Tmax (C),19.18,0.35,19.83,21.49,22.72,22.53,26.45,3,3
Maximum Daily Precipitation (mm/day),48.16,15.91,51.73,51.58,111.21,55.7,141.71,1,2
SPEI,-0.01,0.26,-0.08,0.12,-0.66,0.06,-0.73,0,0
