,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),0.92,0.04,0.93,1.01,1.15,1.0,1.18,2,2
Extreme precipitation day,1.02,1.03,0.29,1.19,5.29,1.28,5.38,1,1
Annual avg Tmax (C),15.52,0.34,16.16,17.81,19.73,18.87,21.93,3,3
Maximum Daily Precipitation (mm/day),24.97,9.6,25.33,26.39,63.61,27.13,64.47,1,1
SPEI,-0.0,0.28,-0.04,-0.09,-0.71,-0.37,-1.12,1,2
