,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),3.19,0.08,3.4,3.41,3.77,3.52,3.85,3,3,3.26,3.38,2,3.53,3,3.48,3,3.67,3
Extreme precipitation day,1.9,0.74,6.0,2.62,7.57,3.19,9.1,1,2,2.22,2.77,2,3.05,2,3.11,2,4.1,2
Annual avg Tmax (C),16.6,0.36,17.32,18.84,19.94,19.82,22.76,3,3,17.11,18.9,3,19.5,3,19.49,3,22.07,3
Maximum Daily Precipitation (mm/day),52.05,8.07,117.67,56.65,120.17,63.05,140.7,1,2,56.1,58.48,1,63.17,2,66.03,2,69.39,2
SPEI,0.01,0.24,-0.56,0.3,-0.76,0.27,-0.59,0,0,-0.13,0.34,0,0.38,0,0.29,0,0.37,0
Heating Degree Days,5762.59,213.18,6736.36,4773.83,6036.4,4456.49,6003.79,0,0,5521.11,4809.69,0,4509.76,0,4566.04,0,3641.49,0
Extreme Degree Days,0.0,0.0,0.57,0.0,3.3,0.0,25.38,0,0,0.0,0.05,0,0.22,0,0.06,0,4.12,3
Cooling Degree Days,624.8,71.94,959.5,1143.97,1658.6,1370.42,2507.51,3,3,728.77,1165.28,3,1286.38,3,1317.1,3,2097.7,3
Wildfire,,,,3.96,,3.19,,0,0,2.94,3.59,0,4.33,0,2.74,0,3.64,0
