,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),0.35,0.02,0.35,0.37,0.45,0.37,0.51,1,2
Extreme precipitation day,0.65,0.83,0.26,0.86,4.33,0.97,4.71,1,1
Annual avg Tmax (C),23.16,0.36,23.86,25.6,26.69,26.63,30.59,3,3
Maximum Daily Precipitation (mm/day),17.49,9.76,18.41,19.15,63.91,19.56,64.91,1,1
SPEI,0.0,0.24,-0.02,-0.22,-0.85,-0.56,-1.56,1,3
