,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85
Annual precipitation (mm/day),0.72,0.03,0.73,0.82,0.93,0.82,0.96,3,3
Extreme precipitation day,1.35,1.18,0.52,1.73,6.1,1.83,6.86,1,1
Annual avg Tmax (C),15.41,0.36,16.08,17.73,19.74,18.8,21.92,3,3
Maximum Daily Precipitation (mm/day),19.67,7.59,19.92,21.41,53.24,21.63,54.3,1,1
SPEI,0.01,0.26,-0.02,-0.23,-1.12,-0.56,-1.14,1,3
Heating Degree Days,7137.77,393.15,,5983.77,7269.02,5556.98,7372.01,0,0
Extreme Degree Days,0.0,0.0,,0.0,0.0,0.09,5.24,3,3
Cooling Degree Days,351.88,108.35,,744.67,1235.54,1022.32,2053.37,3,3
