,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),0.86,0.04,1.0,0.89,1.05,0.86,0.98,1,0,0.85,0.87,1,0.88,2,0.85,1,0.88,2
Extreme precipitation day,0.52,0.48,3.48,0.76,4.86,0.57,4.14,1,1,0.79,0.88,1,0.92,1,0.87,0,1.12,2
Annual avg Tmax (C),19.87,0.39,21.16,22.32,23.94,23.4,27.48,3,3,20.36,22.5,3,23.21,3,23.01,3,25.8,3
Maximum Daily Precipitation (mm/day),26.95,6.41,73.33,29.02,79.87,28.44,75.02,1,1,29.62,31.81,1,32.04,1,29.98,1,33.18,1
SPEI,-0.01,0.34,-0.58,-0.39,-0.98,-0.69,-1.59,2,3,-0.07,-0.35,2,-0.45,2,-0.59,3,-1.11,3
Heating Degree Days,5576.91,182.18,6349.06,4543.02,5626.18,4226.76,5711.89,0,0,5386.37,4526.25,0,4280.81,0,4331.92,0,3352.78,0
Extreme Degree Days,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0,0,0.0,0.0,0,0.0,0,0.0,0,0.01,0
Cooling Degree Days,315.87,50.17,587.87,755.5,1259.9,972.7,2152.99,3,3,386.83,786.03,3,931.66,3,908.37,3,1627.41,3
Wildfire,,,,15.77,,16.31,,2,2,13.31,12.86,2,18.68,2,14.66,2,17.95,2
