,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85
Annual precipitation (mm/day),2.6,0.09,2.61,2.69,3.02,2.67,2.94,2,1
Extreme precipitation day,1.44,1.21,3.03,1.75,6.38,1.97,6.71,1,1
Annual avg Tmax (C),19.18,0.35,19.83,21.49,22.72,22.53,26.45,3,3
Maximum Daily Precipitation (mm/day),48.16,15.91,51.73,51.58,111.21,55.7,141.71,1,2
SPEI,-0.01,0.26,-0.08,0.12,-0.66,0.06,-0.73,0,0
Heating Degree Days,4567.49,340.83,,3798.42,4848.08,3521.31,4848.63,0,0
Extreme Degree Days,0.07,0.31,,1.15,24.01,16.31,185.17,3,3
Cooling Degree Days,1379.47,161.27,,2049.82,2740.44,2440.94,3860.11,3,3
