,mean,std,date
0,1.55055225216399,3.530221916176947,1950-01-01
1,2.2829571282792522,4.162729965869113,1950-01-02
2,2.927255350872266,6.473079033348515,1950-01-03
3,1.443576705059968,3.2129358762079487,1950-01-04
4,1.4921939877889858,2.316312186779476,1950-01-05
5,4.901519281793298,15.187917482863341,1950-01-06
6,1.3319222317997108,1.6329327093984911,1950-01-07
7,3.1445386568001203,5.468028225900545,1950-01-08
8,2.0503245596046327,3.6974714215637805,1950-01-09
9,1.3626939832972442,2.2585246289175553,1950-01-10
10,0.944622892890428,1.7444469116104355,1950-01-11
11,2.0349771711802793,3.532902241191328,1950-01-12
12,3.2989829839477482,8.308435268000473,1950-01-13
13,2.186195426345096,7.887295249917976,1950-01-14
14,1.4494356201209615,2.928881011647622,1950-01-15
15,4.735009872378474,8.454321177999912,1950-01-16
16,3.3750400208841063,6.579852614821116,1950-01-17
17,1.1189025678114766,1.5852753055821893,1950-01-18
18,3.1655954999483322,5.210565491573103,1950-01-19
19,4.995207139290869,10.383910966420425,1950-01-20
20,4.681300124970481,7.895778105915832,1950-01-21
21,2.733786653100521,5.228573762638571,1950-01-22
22,2.6312359855312804,3.764141343327461,1950-01-23
23,0.5352007900650538,1.0935067192200716,1950-01-24
24,0.07405821122249888,0.14661755710534313,1950-01-25
25,0.7910797723785176,1.8340109672543197,1950-01-26
26,1.5217279102216708,2.456017210663365,1950-01-27
27,0.5165951971970831,0.9686990732849606,1950-01-28
28,2.2392121282272064,3.792756408295426,1950-01-29
29,2.2559201131766065,4.050110612864408,1950-01-30
30,0.7534132710913711,1.3936897698549469,1950-01-31
31,1.9751431455266097,3.209751604039111,1950-02-01
32,1.5579310193840814,2.1849975928473624,1950-02-02
33,0.8919453388248907,1.9461852622358626,1950-02-03
34,2.1322032305501386,4.210393595592899,1950-02-04
35,0.8800678131007901,2.215382677323424,1950-02-05
36,2.275896857096476,2.6806349997413217,1950-02-06
37,3.390256772763678,5.830351764730524,1950-02-07
38,4.035467670863519,10.16668259778733,1950-02-08
39,1.7187592541111891,3.27530111287737,1950-02-09
40,2.906593646197767,6.536924565264368,1950-02-10
41,1.7465616304921892,4.421230683318937,1950-02-11
42,2.450202090741576,4.97507412957805,1950-02-12
43,3.7666729716225484,6.306985785117225,1950-02-13
44,2.0283026432090474,3.8171969334554348,1950-02-14
45,1.3621428374400628,2.7914539215518626,1950-02-15
46,0.27991219536878426,0.47884171648242746,1950-02-16
47,2.8401621353363486,6.984189147942254,1950-02-17
48,1.7398217406610326,4.554244049829417,1950-02-18
49,1.7765226030860504,3.2649789009368155,1950-02-19
50,1.4697642769533559,3.0699478182163316,1950-02-20
51,3.858170449789863,6.979388863741557,1950-02-21
52,2.3723792590317316,4.18960682974551,1950-02-22
53,4.237448083170291,6.597073172361495,1950-02-23
54,1.273004883374337,2.212155549659486,1950-02-24
55,0.8201840546852119,1.2764837051533944,1950-02-25
56,1.194355043318345,2.5462092648109436,1950-02-26
57,1.3455560805596178,1.8641865522956935,1950-02-27
58,3.5843612958030593,4.927633259168874,1950-02-28
59,2.2622078961830994,3.4368139488662997,1950-03-01
60,2.3691454512702745,4.422256975028853,1950-03-02
61,2.323167612952862,3.0706397150898663,1950-03-03
62,3.32878828370927,4.173585096540093,1950-03-04
63,3.4595316555428974,8.416473495311866,1950-03-05
64,2.0825247229887673,2.8776676258950022,1950-03-06
65,1.7355386472510352,2.2523904130019274,1950-03-07
66,4.856697996729054,7.793040627306583,1950-03-08
67,1.6605752135222116,2.8171500151569475,1950-03-09
68,1.8841602523674996,3.2940840457992593,1950-03-10
69,2.06102518111168,3.609128333684288,1950-03-11
70,1.5262151264778367,2.212054176948384,1950-03-12
71,3.0792619943375548,6.288971679816251,1950-03-13
72,2.3458697558713277,4.79861891626042,1950-03-14
73,1.9596318207342327,3.5912266173888847,1950-03-15
74,4.0985049965716565,5.320618818387778,1950-03-16
75,3.3403463101227056,4.575912338963453,1950-03-17
76,2.013506985843248,4.054865937869669,1950-03-18
77,1.0756333917275438,1.336285556135967,1950-03-19
78,2.996047835639664,6.998334593495593,1950-03-20
79,3.547444157181547,4.630934906324095,1950-03-21
80,4.102869146934803,4.76166163695182,1950-03-22
81,4.944293626821101,5.249768133369269,1950-03-23
82,3.456672642979746,4.97756976354543,1950-03-24
83,1.4784783216912598,3.3214807552851053,1950-03-25
84,1.0784173073846302,1.875539132255991,1950-03-26
85,1.5855780796430605,2.094577192077462,1950-03-27
86,2.3836049806667297,3.8346316345589626,1950-03-28
87,2.6655998976951065,2.07221853230077,1950-03-29
88,3.6166103097327453,6.148744674148091,1950-03-30
89,2.299607641647786,3.398199456924884,1950-03-31
90,3.3799421008877424,7.499049121089174,1950-04-01
91,2.2073865003871367,2.657450712597111,1950-04-02
92,2.858477993244638,3.7144175580388494,1950-04-03
93,1.5066190147730854,2.054301653244634,1950-04-04
94,2.7782482101039414,3.7129861717404427,1950-04-05
95,3.0498733572520513,7.791742941674247,1950-04-06
96,3.7532465253856833,4.421204664283399,1950-04-07
97,3.1159018525085815,4.751977984663072,1950-04-08
98,3.055686128879285,6.455146166153447,1950-04-09
99,3.238891792664487,5.874298295330261,1950-04-10
100,3.675014996848144,6.450480312161647,1950-04-11
101,3.6930355654996156,5.441551871711871,1950-04-12
102,2.6153480573595647,4.030652031436307,1950-04-13
103,1.7456863370106086,3.6017042354951907,1950-04-14
104,1.7993827134237759,2.8645251020766196,1950-04-15
105,4.1538105367310765,5.9071420269730845,1950-04-16
106,4.610660666001617,7.771585695977251,1950-04-17
