,mean,std,date
0,3.7868563826902704,9.229316318502477,2006-01-01
1,1.3390907139897277,2.865177316860743,2006-01-02
2,0.934297376781095,1.4846199451003301,2006-01-03
3,1.6878504797205096,3.2771903560725772,2006-01-04
4,3.2078004824532917,6.994785612605976,2006-01-05
5,1.4517314199208289,3.4942675276075783,2006-01-06
6,1.199123781455975,2.1797280076038503,2006-01-07
7,2.4876986073130474,3.688554573563459,2006-01-08
8,2.1654851891591016,4.601521923497662,2006-01-09
9,1.9338728353821872,3.8075558361891493,2006-01-10
10,0.8199424794773742,1.012398815671759,2006-01-11
11,1.0884456934166207,2.4598632158509584,2006-01-12
12,1.8580725155126336,3.762624689774105,2006-01-13
13,3.4571229558163656,6.499574287800837,2006-01-14
14,2.7149737873904605,4.478623063207014,2006-01-15
15,3.150282660447244,6.421801486815835,2006-01-16
16,4.105670528870827,9.165937099301752,2006-01-17
17,1.3456680883596814,3.1197947254489433,2006-01-18
18,1.1767334137922651,2.2098932585623583,2006-01-19
19,4.174199315769199,7.7901751617331305,2006-01-20
20,2.2885986671358944,4.924650932780855,2006-01-21
21,1.6146819043829705,2.8372604892233233,2006-01-22
22,3.5336339130351138,6.159414793187644,2006-01-23
23,3.2534089210717605,7.618485804762287,2006-01-24
24,4.448010714265495,9.941478618186919,2006-01-25
25,4.076399049725816,6.215422992863679,2006-01-26
26,1.9201218436787062,4.021904642645746,2006-01-27
27,2.5938793309186234,7.616584869278729,2006-01-28
28,1.8381895106618427,3.453375477153526,2006-01-29
29,3.2764100855794305,10.034047953571116,2006-01-30
30,6.386141275054667,14.851151645259089,2006-01-31
31,0.9948735993800385,1.7679482453755586,2006-02-01
32,3.5671781870632913,8.17306046321586,2006-02-02
33,1.665625276447307,2.171695806919589,2006-02-03
34,1.2852102676853454,2.6229160346912352,2006-02-04
35,1.0542030253418488,1.9692350167040038,2006-02-05
36,1.6482638120513522,3.3168954661156325,2006-02-06
37,2.0572283875870716,4.575523419870547,2006-02-07
38,3.2810531692770644,6.181355933173311,2006-02-08
39,4.072038277835028,6.3911250362623,2006-02-09
40,2.32226043043998,3.592594217239431,2006-02-10
41,1.2731047158987556,2.4352054629734865,2006-02-11
42,1.8798795937202937,3.5284192762810576,2006-02-12
43,0.8577411437207567,1.4667365772169088,2006-02-13
44,0.8304779048606699,1.6125700133341372,2006-02-14
45,0.8649327757146759,1.6914050637957214,2006-02-15
46,1.2186405428013,1.8767884008014801,2006-02-16
47,5.234886336308721,9.571062186810517,2006-02-17
48,2.6864965856865246,4.174105762658908,2006-02-18
49,2.9222933893444343,5.14313609991545,2006-02-19
50,2.3827929579835785,3.0502537583152454,2006-02-20
51,3.2689029560840157,7.0246591029048835,2006-02-21
52,0.8344885076179968,1.00762024899618,2006-02-22
53,0.9623399127251885,1.4276593414096574,2006-02-23
54,2.0142801237982764,3.81844371039965,2006-02-24
55,1.9751647821327165,3.4437514704638907,2006-02-25
56,2.1898650288668313,4.030986933222486,2006-02-26
57,1.1612047882863408,1.8189782369491927,2006-02-27
58,4.440771932721483,8.14145472967541,2006-02-28
59,1.3936816162478343,2.8367567041308814,2006-03-01
60,1.9805669037590892,4.056294631441406,2006-03-02
61,0.882937438395207,1.8070409766475835,2006-03-03
62,2.994082043297957,8.608774084320176,2006-03-04
63,5.935929598698359,9.346675249619715,2006-03-05
64,3.309518852412501,4.113443858806502,2006-03-06
65,2.213275261185897,5.972317231283919,2006-03-07
66,1.1165006477442927,1.71704273042793,2006-03-08
67,3.763436647594582,7.765766032298764,2006-03-09
68,2.7395305585222167,5.061255188133682,2006-03-10
69,1.575603029024413,3.5158784025104852,2006-03-11
70,0.506028412512803,0.6115545477498852,2006-03-12
71,3.211576125119921,3.9859878535916287,2006-03-13
72,2.1708347129398526,3.806785498912416,2006-03-14
73,0.8995564573004751,1.0591591267640175,2006-03-15
74,2.759083941054996,4.207356959749613,2006-03-16
75,2.920573587808966,4.11887742258724,2006-03-17
76,3.9780781673990924,6.074827909779487,2006-03-18
77,2.757069667053916,4.008284654554373,2006-03-19
78,9.34917673210813,16.32072193090577,2006-03-20
79,3.1097944702716114,5.47519049775992,2006-03-21
80,1.8226078687413454,2.954274495365547,2006-03-22
81,2.3230253624205943,3.9739927607073597,2006-03-23
82,4.644243647323622,8.611996397476751,2006-03-24
83,3.2754146651184004,6.386984663866183,2006-03-25
84,2.3681787520704995,4.83441640630619,2006-03-26
85,1.8816126501925672,3.9562753081969118,2006-03-27
86,3.470508271909369,6.998631362231364,2006-03-28
87,2.2811655635970447,4.3451668324403725,2006-03-29
88,1.8279019570140267,2.2533873785596024,2006-03-30
89,4.003328558090808,4.585832679521624,2006-03-31
90,4.033593727262996,4.863124374706403,2006-04-01
91,7.633778978814527,8.881956677400385,2006-04-02
92,2.9464021939410094,3.224891845633733,2006-04-03
93,3.0088949888652547,5.128294642295614,2006-04-04
94,3.0901894087687003,4.047768181668004,2006-04-05
95,2.526722169360645,3.59506819285894,2006-04-06
96,4.231036618096239,6.082626822586,2006-04-07
97,2.400659541204472,2.8793175754510765,2006-04-08
98,2.5854907155592497,5.083283385907954,2006-04-09
99,4.636367400293499,8.143785760010669,2006-04-10
100,2.9462275535008433,3.9470140639793834,2006-04-11
101,3.2492356027043052,4.46313098151279,2006-04-12
102,6.508244569522503,10.533769989929084,2006-04-13
103,4.648178072446692,6.862258722016394,2006-04-14
104,4.014170687358793,8.097966539746933,2006-04-15
105,1.9362272341043405,2.99573429825855,2006-04-16
106,3.1539651174690726,4.187227685575296,2006-04-17
