,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85
Annual precipitation (mm/day),0.37,0.02,0.36,0.38,0.43,0.38,0.5,1,1
Extreme precipitation day,0.43,0.62,0.15,0.5,3.24,0.56,3.52,1,1
Annual avg Tmax (C),21.41,0.37,22.12,23.85,24.94,24.87,28.78,3,3
Maximum Daily Precipitation (mm/day),15.84,7.13,15.93,16.82,48.19,17.0,47.59,1,1
SPEI,0.0,0.25,-0.01,-0.11,-1.04,-0.41,-1.55,1,2
Heating Degree Days,4979.92,371.47,,4028.05,5187.33,3705.68,5278.16,0,0
Extreme Degree Days,0.0,0.0,,0.05,2.21,2.68,44.28,3,3
Cooling Degree Days,715.79,134.78,,1265.24,1861.3,1590.39,2767.85,3,3
