,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),0.54,0.03,0.54,0.58,0.71,0.57,0.7,2,1
Extreme precipitation day,0.78,0.91,0.5,1.02,4.67,1.07,4.86,1,1
Annual avg Tmax (C),20.96,0.39,21.7,23.46,25.39,24.54,27.95,3,3
Maximum Daily Precipitation (mm/day),20.25,9.1,20.15,21.95,56.84,22.32,58.63,1,1
SPEI,-0.01,0.29,-0.08,-0.37,-1.22,-0.61,-1.66,2,3
