,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),4.2,0.19,4.24,4.27,4.75,4.26,4.65,1,1
Extreme precipitation day,1.53,1.3,18.88,1.93,6.57,2.17,7.24,1,1
Annual avg Tmax (C),25.6,0.33,26.15,27.42,28.82,28.22,30.97,3,3
Maximum Daily Precipitation (mm/day),83.16,28.98,91.06,87.85,202.69,100.79,256.51,1,1
SPEI,-0.0,0.28,0.03,0.1,-0.68,-0.05,-0.87,0,1
