,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),1.53,0.07,1.68,1.67,1.89,1.7,1.96,3,3,1.56,1.68,3,1.76,3,1.69,3,1.85,3
Extreme precipitation day,1.26,0.67,6.0,1.83,7.62,2.19,8.81,1,2,1.7,2.29,1,2.56,2,2.44,2,3.27,2
Annual avg Tmax (C),12.86,0.33,13.67,15.3,17.35,16.33,20.1,3,3,13.28,15.43,3,16.08,3,15.97,3,18.74,3
Maximum Daily Precipitation (mm/day),31.61,6.9,75.56,35.33,78.08,37.58,82.34,1,1,36.04,37.89,1,38.38,1,38.94,1,43.3,2
SPEI,0.01,0.28,-0.6,0.0,-0.6,-0.09,-0.99,1,1,-0.18,0.02,0,0.35,0,0.05,0,-0.13,0
Heating Degree Days,8058.54,211.34,8987.06,6636.32,8165.09,6218.14,8156.67,0,0,7802.4,6614.15,0,6291.14,0,6358.61,0,5101.83,0
Extreme Degree Days,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0,0,0.0,0.0,0,0.0,0,0.0,0,0.01,0
Cooling Degree Days,64.51,24.1,225.86,294.2,663.64,436.41,1287.31,3,3,104.6,306.93,3,412.0,3,407.42,3,962.87,3
Wildfire,,,,9.03,,9.71,,1,1,8.77,8.6,1,9.45,1,8.94,1,10.49,1
