,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),1.97,0.14,2.23,1.92,2.34,1.84,2.37,0,0,1.96,1.87,0,1.87,0,1.82,0,1.75,0
Extreme precipitation day,0.86,0.71,4.95,1.1,6.48,1.0,6.67,1,1,1.17,1.4,1,1.52,1,1.36,0,1.49,1
Annual avg Tmax (C),27.61,0.31,28.57,29.56,30.91,30.44,33.67,3,3,27.98,29.66,3,30.29,3,30.1,3,32.44,3
Maximum Daily Precipitation (mm/day),55.45,13.45,148.31,58.07,166.41,58.07,193.19,1,1,58.67,63.63,1,66.63,1,64.15,1,65.83,1
SPEI,-0.02,0.3,-0.89,-0.29,-1.09,-0.54,-1.59,1,2,0.1,-0.08,1,-0.34,2,-0.46,2,-0.92,3
Heating Degree Days,1095.96,89.88,1514.13,750.68,1268.6,633.74,1306.43,0,0,1025.58,754.74,0,645.23,0,681.89,0,379.48,0
Extreme Degree Days,0.0,0.0,4.27,1.7,48.78,10.03,276.29,3,3,0.36,3.65,3,13.73,3,11.92,3,128.1,3
Cooling Degree Days,3085.21,125.62,3722.09,4018.11,4852.43,4374.78,6143.15,3,3,3241.47,4027.67,3,4332.53,3,4258.18,3,5514.71,3
Wildfire,,,,18.24,,16.6,,2,2,13.81,15.77,2,20.72,2,15.1,2,18.09,2
