,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_std,rcp45_max,rcp85_mean,rcp85_std,rcp85_max,1990_2019_mean,1990_2019_std,1990_2019_max,shifting_rcp45,shifting_rcp85
25,"Green River, UT, Disposal Site",GRN,UT,0.46,0.03,0.55,0.5,0.04,0.59,0.49,0.04,0.58,0.46,0.52,0.03,2.0,2.0
26,"Gunnison, CO, Disposal Site",GUD,CO,1.45,0.07,1.58,1.57,0.09,1.85,1.56,0.1,1.86,1.45,1.58,0.08,2.0,2.0
27,"Gunnison, CO, Processing Site",GUP,CO,1.45,0.07,1.58,1.57,0.09,1.85,1.56,0.1,1.86,1.45,1.58,0.08,2.0,2.0
28,"Hallam, NE, Decommissioned Reactor Site",HAL,NE,2.06,0.1,2.38,2.1,0.1,2.42,2.09,0.09,2.38,2.08,2.25,0.09,1.0,1.0
29,"L-Bar, NM, Disposal Site",BAR,NM,0.86,0.04,1.0,0.89,0.06,1.05,0.86,0.05,0.98,0.85,0.96,0.05,1.0,0.0
30,"Laboratory for Energy-Related Health Research, CA, Site",LEH,CA,1.62,0.12,1.89,1.66,0.14,2.01,1.75,0.15,2.34,1.65,1.97,0.16,1.0,2.0
31,"Lakeview, OR, Disposal Site",LKD,OR,1.02,0.05,1.11,1.08,0.07,1.24,1.1,0.08,1.27,1.01,1.09,0.04,2.0,2.0
32,"Lakeview, OR, Processing Site",LKP,OR,1.07,0.05,1.17,1.13,0.07,1.3,1.15,0.08,1.33,1.05,1.15,0.04,2.0,2.0
33,"Lowman, ID, Disposal Site",LOW,ID,1.53,0.07,1.68,1.67,0.1,1.89,1.7,0.14,1.96,1.53,1.66,0.06,3.0,3.0
34,"Maxey Flats, KY, Disposal Site",MAX,KY,3.17,0.1,3.42,3.37,0.14,3.84,3.43,0.15,3.81,3.23,3.42,0.11,3.0,3.0
35,"Maybell West, CO, Disposal Site",MAW,CO,0.9,0.04,1.04,1.0,0.06,1.12,1.0,0.07,1.17,0.9,1.01,0.04,3.0,3.0
