,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,hist_max,hist_median,hist_pr60,hist_pr70,hist_pr80,hist_pr90,hist_pr95,rcp45_mean,rcp45_std,rcp45_min,rcp45_max,rcp45_median,rcp85_mean,rcp85_std,rcp85_min,rcp85_max,rcp85_median,shifting_rcp45,shifting_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,,3.0
1,"Amchitka, AK, Site",AMC,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,"Bluewater, NM, Disposal Site",BLU,NM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,,3.0
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,0.0,0.03,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.12,0.0,0.05,0.45,0.0,4.19,0.0,0.0,2.0
4,"Bronco, CO, Site",BRO,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.0,0.53,0.0,,3.0
5,"Burrell, PA, Disposal Site",BUR,PA,0.01,0.08,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.43,0.0,3.3,0.0,1.27,3.77,0.0,25.38,0.0,2.0,3.0
6,"Burris Park, CA, Site",BRP,CA,0.01,0.06,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.37,1.26,0.0,8.48,0.0,5.35,12.39,0.0,72.27,0.03,3.0,3.0
7,"Canonsburg, PA, Disposal Site",CAN,PA,0.02,0.11,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.62,0.0,4.28,0.0,1.67,4.65,0.0,31.0,0.0,2.0,3.0
8,"Casper, WY, Calibration Model",CSC,WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.12,0.0,0.36,1.4,0.0,10.93,0.0,3.0,3.0
9,"Central Nevada Test Area, NV",CNT,NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.55,0.0,3.39,0.0,3.0,3.0
10,"Colonie, NY, Site",CLN,NY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.59,0.0,0.75,2.45,0.0,17.75,0.0,3.0,3.0
11,"Durango, CO, Disposal Site",DUD,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.42,0.0,,3.0
