,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,hist_max,hist_median,hist_pr60,hist_pr70,hist_pr80,hist_pr90,hist_pr95,rcp45_mean,rcp45_std,rcp45_min,rcp45_max,rcp45_median,rcp85_mean,rcp85_std,rcp85_min,rcp85_max,rcp85_median
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,11962.86326709929,351.01199710964937,5297.656180376313,6986.683562796444,6178.070108054013,6265.984816414955,6365.48313049315,6476.336270446765,6605.856258239733,6728.712542386723,12147.445168346694,432.58232569360075,4039.3068637520837,6211.473382829927,5052.709056222088,12274.567608728228,758.7157838858072,3045.644055219371,6297.885935102177,4710.374207000723
1,"Amchitka, AK, Site",AMC,AK,11865.208333333334,309.68106634941256,8346.701578805092,9858.992872314439,9116.381124267564,9196.483453369126,9282.966082676463,9379.778805106014,9504.698026210224,9602.828368225082,11865.150709219859,487.22473523551344,6897.376471906375,9090.722862723198,7896.296830880286,11865.269412559192,914.8932500730208,5420.042043282631,9053.319851946135,7512.673783569321
2,"Bluewater, NM, Disposal Site",BLU,NM,11962.86326709929,351.01199710964937,5297.656180376313,6986.683562796444,6178.070108054013,6265.984816414955,6365.48313049315,6476.336270446765,6605.856258239733,6728.712542386723,12147.445168346694,432.58232569360075,4039.3068637520837,6211.473382829927,5052.709056222088,12274.567608728228,758.7157838858072,3045.644055219371,6297.885935102177,4710.374207000723
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,14432.15737062598,0.023396736331710802,0.0,0.16264535086495174,0.0,0.0,0.0,0.0,0.0,0.0061859348842070346,14853.770618880722,0.0,0.0,0.0,0.0,15058.992601482394,0.0,0.0,0.0,0.0
4,"Bronco, CO, Site",BRO,CO,11970.570674817875,420.8418273787369,6097.924451686302,8160.114494367314,7288.179769875651,7389.441893005358,7495.601868460505,7611.980999799443,7770.32191199165,7895.622233908504,12150.511925807494,548.5754491925603,4656.72017325264,7397.59214172362,6006.424953874849,12278.002690694362,891.485896054402,3656.283294677726,7481.002368643611,5589.317796173085
5,"Burrell, PA, Disposal Site",BUR,PA,12184.494986602109,422.19260199635426,4745.578123997269,6736.360468314025,5762.588068259092,5877.650773359015,5975.768905138277,6095.553987993502,6279.021014120909,6406.017951071591,12428.650361927092,466.3752701521508,3620.069039742596,6036.398986206044,4773.832039598727,12579.943532313046,687.0502586392951,2878.6566597202773,6003.788555385034,4456.489987923748
6,"Burris Park, CA, Site",BRP,CA,12729.169207692312,225.05901659518435,1488.8340415736534,2573.7550898088643,2013.3247726440347,2069.8617173113066,2135.943442905963,2197.9888429478156,2283.6836454990853,2371.4449916294566,13096.79350391555,262.12656512197645,919.3061362130247,2200.0290371268056,1483.5822574288436,13288.264304450444,381.9567770067317,534.6390493338411,2258.316090436655,1316.767066519595
7,"Canonsburg, PA, Disposal Site",CAN,PA,12212.972597707896,415.0823989598287,4579.45193171909,6530.309365931908,5578.089471391941,5693.082613307399,5790.356824384404,5904.874633527472,6084.937716326022,6208.880768094733,12463.62257301654,456.9844237411658,3483.4789671543585,5838.801355111247,4615.97076714651,12618.545497167835,673.2742172555833,2756.809704851416,5812.099679957789,4302.377600882385
8,"Casper, WY, Calibration Model",CSC,WY,12045.301888641308,395.45530783373476,5854.022891322534,7793.398230983175,6916.6084860447345,7013.707977294909,7123.590033743711,7223.613739667608,7410.789028407493,7531.560021285997,12242.606146817121,506.1780798949922,4535.096010175422,7033.657470310745,5777.21787599835,12383.497362602104,800.2903385296456,3666.631961364738,7132.500997314443,5426.853769792818
9,"Central Nevada Test Area, NV",CNT,NV,12038.205655800437,396.06403746656065,5100.494213954369,7025.0445267159475,6066.445290570929,6155.55471470423,6264.007507607586,6373.752232142845,6529.783385249534,6673.896045150744,12256.811403443702,473.2357120752291,3853.730947614388,6217.272208164748,4912.21457885741,12395.793255317327,756.9848132440633,2966.443463745109,6312.46687247139,4582.5777663748495
