,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,hist_max,hist_median,hist_pr60,hist_pr70,hist_pr80,hist_pr90,hist_pr95,rcp45_mean,rcp45_std,rcp45_min,rcp45_max,rcp45_median,rcp85_mean,rcp85_std,rcp85_min,rcp85_max,rcp85_median,1990_2019_mean,1990_2019_std,1990_2019_min,1990_2019_max,1990_2019_median
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,28.809616133589675,12.735035296294457,10.727220537540104,73.1724255984383,25.81140188101147,28.861148548977717,32.356091741738574,37.1692858237241,45.31605170507516,53.23162149704461,30.348141067427804,12.98270480016619,10.567828829932425,83.2069249158459,28.171333454416267,29.44624835787529,12.159112868995653,9.718028708760228,71.0912489731397,27.295524557121098,28.56325439929852,12.141495772195176,11.1109932186082,61.27190353082759,26.288077421486378
1,"Amchitka, AK, Site",AMC,AK,20.567227653952372,5.8359953038455865,11.547867531356003,40.19094898498484,19.623906315038248,20.786964261372173,22.433838710588002,24.75472857643451,28.003788340304578,30.713472215990937,22.791683151390924,5.732456935950939,12.680352934902269,43.035932284380706,21.85595225808876,25.153521424170723,6.761731486967635,13.143640749954752,46.47590857265251,24.145389571120695,21.476760613296204,6.04401707878482,12.979355447792582,38.693198322185445,20.24853115768305
2,"Bluewater, NM, Disposal Site",BLU,NM,28.809616133589675,12.735035296294457,10.727220537540104,73.1724255984383,25.81140188101147,28.861148548977717,32.356091741738574,37.1692858237241,45.31605170507516,53.23162149704461,30.348141067427804,12.98270480016619,10.567828829932425,83.2069249158459,28.171333454416267,29.44624835787529,12.159112868995653,9.718028708760228,71.0912489731397,27.295524557121098,28.56325439929852,12.141495772195176,11.1109932186082,61.27190353082759,26.288077421486378
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,87.06299870759631,33.45952862485008,35.040447182421175,193.48261915147305,81.79211881277817,90.25575164705515,99.22054098652941,111.53522258890527,131.68270218053036,146.11354323902302,82.89882529092424,34.2259005883682,29.112633244533622,194.75612768105097,75.9926067266081,92.50105387091743,49.964731221117646,26.83269125076809,300.1276495201247,81.01114396538053,95.31030419782685,52.23453852303642,40.279510856739115,280.8465943272625,81.86960220336914
4,"Bronco, CO, Site",BRO,CO,22.63298764039658,8.628274111404464,10.068348016855973,51.88309945432203,21.085536034245575,23.151892915900266,25.42253033856728,28.609844842659577,33.06053125166467,38.5137341716992,24.029845777187088,8.429351477965653,10.330544425440687,52.2884775086173,22.443469098236942,25.416697719273095,9.453819216954244,10.269395089043039,58.17093175968954,23.550347278692893,22.773506637809458,8.009850911851823,10.757224487939052,45.470282674900126,21.67514215356537
5,"Burrell, PA, Disposal Site",BUR,PA,55.35047088763962,17.39766133166564,29.236193812851393,117.67271528286594,52.04997081309557,55.46342999275242,60.11662940893854,66.40720918242421,76.64342007732817,87.15626000027571,59.2865308556468,16.767858849111025,30.894364642777614,120.17240093222686,56.65488567735468,66.94779140353882,21.81057612590294,31.369843546833312,140.69598561951094,63.04854418018034,59.78116710060118,21.527942216510105,31.641650465982302,127.32912706477302,54.20780353514211
6,"Burris Park, CA, Site",BRP,CA,30.273394582808557,15.113804976935523,8.683140284847468,79.70166294170278,26.615805734348083,30.254042680774415,34.69634628854692,40.33623957740409,49.691732773291214,58.652480838022065,31.755458902416176,15.28778894524641,8.49802159770791,86.32124199398926,28.878284032855714,33.95948283902247,18.249031072385986,7.617595439244594,99.14138995643172,30.325525107660464,32.422337614876106,17.122986577619113,10.86488422671599,82.87415078708104,28.503881181989396
7,"Canonsburg, PA, Disposal Site",CAN,PA,46.066072560390644,13.245453771622564,25.18598839108433,85.11481742773738,43.72254917398095,47.02235836801784,51.20087719655463,55.77573036508901,63.416594985340325,70.66018080471882,49.55126223642674,13.594024366959005,26.076851366087794,97.15340345033577,47.235723844330224,54.83848176851279,16.312984844382566,28.026901677783048,112.43791428527662,52.19467137940228,48.25684637189132,13.929690619268234,27.450087599988496,84.81711521744728,46.16550514474511
8,"Casper, WY, Calibration Model",CSC,WY,23.20424145068593,9.353935134102274,9.290241965624903,55.38748492087637,21.58764412493578,23.459751538134046,26.128966088539787,29.435978390808618,34.916468117652194,40.30644735986633,23.90171077588607,8.969603258550556,9.498073739398803,57.896992484373705,22.173990462241427,24.756741932505538,9.558822647505183,9.664614551833697,58.64010974764824,22.831011899480863,23.118589571768904,8.939287952174615,10.515857288347823,47.74063921400479,21.14068590370672
9,"Central Nevada Test Area, NV",CNT,NV,26.047064725616092,11.000613895485818,9.87400347366929,62.15720732829401,24.053174147515424,26.502255822664925,28.95042162521609,32.92760959427272,40.752574814749615,47.329868871851694,28.464520783361763,11.374458613212317,9.764309716410935,68.73228757509163,26.78792509250343,29.527412764186682,13.4349669377102,9.473854065540113,82.32110634978328,26.816120437745536,27.312282475486874,12.888636646429305,11.342693644110113,68.26992251777223,24.869530774386867
10,"Colonie, NY, Site",CLN,NY,41.38981261592339,12.671813318656545,22.708496045587317,89.61045454655375,38.92100821249187,41.74522540665099,44.595204080854145,49.542000011674,57.179702379341634,63.35117506927678,44.52083377326105,12.891423611701601,24.039987168673957,93.92247242586953,42.17581317227866,50.81201336151243,16.477065819332253,25.82243509989764,113.12286185898951,47.59894469752908,44.55086508068473,15.184243992871597,25.434619946671383,88.11102067785603,41.13316398912242
