,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,hist_max,hist_median,hist_pr60,hist_pr70,hist_pr80,hist_pr90,hist_pr95,rcp45_mean,rcp45_std,rcp45_min,rcp45_max,rcp45_median,rcp85_mean,rcp85_std,rcp85_min,rcp85_max,rcp85_median,1990_2019_mean,1990_2019_std,1990_2019_min,1990_2019_max,1990_2019_median,shifting_rcp45,shifting_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,1.06,1.05,0.0,4.24,0.88,1.1,1.5,1.76,2.43,2.89,1.31,1.23,0.0,5.43,1.05,1.27,1.17,0.0,5.14,0.93,1.15,1.08,0.0,4.05,0.95,1,1
1,"Amchitka, AK, Site",AMC,AK,2.32,1.57,0.0,6.9,2.07,2.57,3.0,3.67,4.31,4.98,3.57,1.96,0.1,9.76,3.36,4.62,2.53,0.29,12.29,4.38,3.23,1.92,0.33,7.86,3.05,2,2
2,"Bluewater, NM, Disposal Site",BLU,NM,1.06,1.05,0.0,4.24,0.88,1.1,1.5,1.76,2.43,2.89,1.31,1.23,0.0,5.43,1.05,1.27,1.17,0.0,5.14,0.93,0.98,0.99,0.0,3.57,0.86,1,1
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,2.35,2.16,0.05,10.14,1.79,2.43,2.88,3.86,5.07,6.21,2.0,1.99,0.0,9.52,1.43,2.1,2.09,0.0,11.1,1.43,17.91,7.07,6.29,36.1,17.05,0,0
4,"Bronco, CO, Site",BRO,CO,1.22,1.13,0.0,4.67,0.93,1.38,1.71,1.95,2.76,3.2,1.58,1.34,0.0,6.1,1.4,1.78,1.4,0.0,6.33,1.6,0.0,0.03,0.0,0.14,0.0,1,1
5,"Burrell, PA, Disposal Site",BUR,PA,2.07,1.4,0.0,6.0,1.9,2.48,2.64,3.1,3.9,4.57,2.8,1.65,0.05,7.57,2.62,3.37,1.9,0.19,9.1,3.19,2.65,1.64,0.14,6.62,2.48,1,2
6,"Burris Park, CA, Site",BRP,CA,0.46,0.74,0.0,3.1,0.05,0.24,0.57,0.95,1.43,1.93,0.57,0.83,0.0,3.95,0.19,0.67,0.9,0.0,4.24,0.21,0.65,0.87,0.0,3.19,0.14,1,1
7,"Canonsburg, PA, Disposal Site",CAN,PA,2.6,1.58,0.05,6.76,2.5,2.76,3.33,3.81,4.67,5.29,3.44,1.88,0.1,9.05,3.29,4.14,2.15,0.29,10.86,3.83,7.86,3.04,2.43,14.71,7.62,1,2
8,"Casper, WY, Calibration Model",CSC,WY,0.98,0.99,0.0,4.05,0.67,0.9,1.48,1.71,2.21,2.75,1.19,1.15,0.0,4.81,0.76,1.25,1.17,0.0,5.14,0.95,0.58,0.75,0.0,2.57,0.29,1,1
9,"Central Nevada Test Area, NV",CNT,NV,0.8,0.93,0.0,3.86,0.48,0.81,1.14,1.38,2.05,2.51,1.12,1.15,0.0,5.1,0.95,1.2,1.21,0.0,5.38,0.95,0.53,0.72,0.0,2.57,0.24,1,1
10,"Colonie, NY, Site",CLN,NY,1.37,1.12,0.0,4.48,1.19,1.33,1.83,2.29,2.79,3.33,1.93,1.39,0.0,6.33,1.67,2.43,1.53,0.19,7.43,2.29,6.14,2.56,1.67,12.29,5.9,1,2
11,"Durango, CO, Disposal Site",DUD,CO,1.23,1.17,0.0,5.0,1.0,1.19,1.57,2.1,2.79,3.26,1.52,1.32,0.0,5.76,1.24,1.6,1.36,0.0,6.24,1.43,0.15,0.34,0.0,1.24,0.0,1,1
12,"Durango, CO, Processing Site",DUP,CO,1.06,1.09,0.0,4.62,0.79,1.05,1.43,1.81,2.43,3.1,1.31,1.21,0.0,5.33,1.0,1.37,1.26,0.0,5.81,1.07,0.95,1.0,0.0,3.62,0.76,1,1
13,"Edgemont, SD, Disposal Site",EDG,SD,0.99,1.05,0.0,4.48,0.67,0.95,1.43,1.76,2.38,2.79,1.1,1.1,0.0,4.81,0.81,1.15,1.11,0.0,4.9,0.98,2.67,1.73,0.14,6.95,2.57,1,1
