,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_max,hist_min,rcp45_mean,rcp45_std,rcp45_max,rcp45_min,rcp85_mean,rcp85_std,rcp85_max,rcp85_min,1990_2019_mean,1990_2019_std,1990_2019_min,1990_2019_max,shifting_rcp45,shifting_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,-0.02,0.33,0.77,-0.59,-0.38,0.29,0.35,-1.03,-0.7,0.43,0.24,-1.62,-0.13,0.3,-0.59,0.77,2.0,3.0
1,"Amchitka, AK, Site",AMC,AK,0.02,0.28,0.56,-0.51,0.49,0.26,1.06,-0.14,1.16,0.68,2.48,-0.03,0.13,0.26,-0.32,0.71,1.0,1.0
2,"Bluewater, NM, Disposal Site",BLU,NM,-0.02,0.33,0.8,-0.59,-0.38,0.28,0.35,-1.01,-0.69,0.43,0.23,-1.58,-0.13,0.3,-0.59,0.8,2.0,3.0
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,-0.02,0.27,0.49,-0.72,-0.1,0.28,0.8,-0.73,-0.61,0.68,0.59,-2.09,-0.03,0.3,-0.72,0.49,1.0,3.0
4,"Bronco, CO, Site",BRO,CO,-0.0,0.26,0.5,-0.5,-0.26,0.31,0.53,-1.21,-0.54,0.39,0.36,-1.42,-0.03,0.26,-0.5,0.5,2.0,3.0
5,"Burrell, PA, Disposal Site",BUR,PA,0.01,0.24,0.4,-0.56,0.3,0.36,1.2,-0.76,0.27,0.29,0.94,-0.59,0.01,0.25,-0.56,0.4,1.0,1.0
6,"Burris Park, CA, Site",BRP,CA,0.01,0.26,0.64,-0.63,-0.18,0.27,0.45,-0.71,-0.43,0.35,0.36,-1.37,0.0,0.24,-0.63,0.36,1.0,2.0
7,"Canonsburg, PA, Disposal Site",CAN,PA,0.0,0.21,0.35,-0.48,0.29,0.34,1.19,-0.59,0.24,0.28,0.83,-0.64,0.01,0.22,-0.48,0.32,1.0,1.0
8,"Casper, WY, Calibration Model",CSC,WY,-0.0,0.25,0.75,-0.46,-0.14,0.26,0.42,-0.9,-0.42,0.33,0.36,-1.2,-0.03,0.26,-0.46,0.75,1.0,2.0
9,"Central Nevada Test Area, NV",CNT,NV,0.01,0.24,0.73,-0.68,-0.21,0.28,0.78,-1.01,-0.51,0.36,0.32,-1.46,0.0,0.2,-0.68,0.32,1.0,3.0
