,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),1.02,0.05,1.11,1.08,1.24,1.1,1.27,2,2,1.01,1.1,3,1.1,3,1.1,3,1.18,3
Extreme precipitation day,0.5,0.57,3.67,0.57,4.57,1.0,5.71,1,1,0.79,1.11,1,1.06,1,1.28,2,1.71,2
Annual avg Tmax (C),15.73,0.33,16.47,18.01,19.16,18.95,21.82,3,3,16.16,18.13,3,18.76,3,18.62,3,21.2,3
Maximum Daily Precipitation (mm/day),24.65,4.61,59.65,26.67,62.03,27.31,68.54,1,1,26.4,28.78,1,26.95,1,29.24,1,30.51,2
SPEI,0.0,0.29,-0.61,0.07,-0.61,-0.04,-0.64,0,1,-0.19,0.07,0,0.3,0,0.03,0,0.02,0
Heating Degree Days,6857.26,199.32,7824.98,5690.1,6977.88,5365.72,7008.33,0,0,6653.85,5669.89,0,5387.82,0,5470.92,0,4421.2,0
Extreme Degree Days,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0,0,0.0,0.0,0,0.0,0,0.0,0,0.09,0
Cooling Degree Days,115.61,33.3,327.56,413.7,817.36,567.02,1485.38,3,3,174.5,414.17,3,543.89,3,542.51,3,1145.57,3
Wildfire,,,,9.61,,10.5,,1,1,9.41,9.02,1,10.19,1,9.67,1,11.33,2
