,NameMnemonic,Latitude,Longitude,hist_12mo_avg,RCP85_mid_12mo_avg,RCP85_late_12mo_avg,RCP85_MidLate_12mo_avg,RCP45_mid_12mo_avg,RCP45_late_12mo_avg,RCP45_MidLate_12mo_avg,EU_class_hist,EU_class_RCP85_Mid,EU_class_RCP85_Late,EU_class_RCP85MidLate,EU_class_RCP45_Mid,EU_class_RCP45_Late,EU_class_RCP45MidLate
13,GJO,39.043371,-108.573355,16.28382964,16.76656353,19.20101464,17.98378908,16.1683994,19.14018971,17.65429455,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
14,GJT,39.055441,-108.54925,16.84021706,17.27587123,19.72556294,18.50071708,16.71718939,19.63993062,18.17856001,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
15,GNO,32.263164,-103.866477,21.71230802,23.99688502,26.97661578,25.4867504,21.25737702,29.10505202,25.18121452,High,High,High,High,High,High,High
16,GRJ,38.902364,-108.338213,16.77473925,17.17273555,19.8053028,18.48901918,16.34159431,19.14965308,17.74562369,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
17,GRN,38.978164,-110.136749,23.1848135,23.6023159,26.13266546,24.86749068,22.79129032,24.96281138,23.87705085,High,High,High,High,High,High,High
18,GSB,36.677903,-107.208999,10.66691871,11.52749696,13.456496,12.49199648,10.14877218,14.52260188,12.33568703,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate
19,GUD,38.51014,-106.846387,9.749117603,10.40399765,12.89922581,11.65161173,9.38866354,12.32095662,10.85481008,Low,Low,Moderate,Moderate,Low,Moderate,Low
20,GUP,38.528258,-106.942532,10.36839714,10.67664096,13.25085911,11.96375004,9.781985883,12.74143837,11.26171213,Low,Low,Moderate,Moderate,Low,Moderate,Moderate
21,HAL,40.558519,-96.784697,16.5550604,12.43996241,15.77731602,14.10863921,15.45268878,24.62771534,20.04020206,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate
22,HAT,37.133607,-109.874549,21.94217956,23.07791051,25.65213207,24.36502129,21.48124078,23.87204986,22.67664532,High,High,High,High,High,High,High
23,LKD,42.285784,-120.433462,9.414597209,9.674637321,11.32743742,10.50103737,9.02301662,10.18751234,9.60526448,Low,Low,Moderate,Low,Low,Low,Low
24,LKP,42.21008,-120.36367,9.577662422,9.849981182,11.49449734,10.67223926,9.253526634,10.39423053,9.823878581,Low,Low,Moderate,Low,Low,Low,Low
25,LOW,44.08479,-115.606689,8.773422778,8.936370723,10.49096926,9.713669992,8.599889156,9.45047466,9.025181908,Low,Low,Low,Low,Low,Low,Low
26,MAW,40.544556,-108.015615,15.39827634,15.80072466,18.16969548,16.98521007,15.47918702,18.71663203,17.09790953,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
27,MAY,40.543859,-107.99287,15.34682332,15.76085543,18.11456841,16.93771192,15.42957404,18.69166446,17.06061925,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
28,MND,39.627799,-84.286025,6.267708436,5.330723357,7.499062496,6.414892926,6.707295102,8.741173236,7.724234169,Low,Low,Low,Low,Low,Low,Low
29,MNT,37.851103,-109.325213,11.30328644,12.34435345,14.31672557,13.33053951,11.16295616,14.64219067,12.90257341,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate
30,MON,36.931242,-109.866515,21.68842108,22.59464936,24.97362355,23.78413646,20.78735282,23.32224016,22.05479649,High,High,High,High,Moderate,High,High
31,NAD,38.360283,-108.75443,14.2875367,15.48185597,17.32099681,16.40142639,14.33245582,17.12386181,15.72815882,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
