,NameMnemonic,1995_12mo_avg,1996_12mo_avg,1997_12mo_avg,1998_12mo_avg,1999_12mo_avg,2000_12mo_avg,2001_12mo_avg,2002_12mo_avg,2003_12mo_avg,2004_12mo_avg,2045_12mo_avg,2046_12mo_avg,2047_12mo_avg,2048_12mo_avg,2049_12mo_avg,2050_12mo_avg,2051_12mo_avg,2052_12mo_avg,2053_12mo_avg,2054_12mo_avg,2085_12mo_avg,2086_12mo_avg,2087_12mo_avg,2088_12mo_avg,2089_12mo_avg,2090_12mo_avg,2091_12mo_avg,2092_12mo_avg,2093_12mo_avg,2094_12mo_avg
73,HAO,5.458972694,4.904365961,4.915048519,6.173235038,6.966464027,7.064453154,7.659278269,7.956959103,7.14780329,5.782066584,8.591942585,7.302101336,4.739683304,6.522812803,5.55566926,7.733469863,8.822640363,7.68092321,6.100463911,8.756283115,7.338860659,9.745104116,8.483094452,6.020394981,8.450607884,9.130336955,8.519464134,9.622834247,7.750186991,17.77156608
74,INO,5.398115318,5.666115643,5.738366539,5.678150364,6.16594987,6.048919308,5.908552462,5.827232058,5.430345867,4.415124618,6.724665639,6.949582632,5.682495037,5.915468028,6.507466414,7.503089619,7.670797601,8.581933388,6.050307864,7.285483134,5.609967722,6.935798978,5.890829702,7.305056086,6.646063076,5.909775266,5.761512313,6.292971183,6.08969727,13.75998987
75,JEC,7.957522541,8.096078523,6.890195654,6.834604944,7.546200106,7.555399165,7.537886725,8.042245169,7.40346856,7.069544927,8.720186708,9.225565186,8.644594532,7.649395771,8.627129921,8.955346186,9.08821395,9.832641162,8.085612913,10.28736736,8.811847598,9.714516954,8.100530667,8.969470405,9.092781512,8.713727489,9.367298053,9.079248535,8.960388575,14.92066203
76,MAD,10.36466532,9.753195349,11.78788241,12.18982069,12.83754782,10.93296417,11.07332907,13.73352995,12.77653008,11.01184364,13.31388594,12.00794846,8.860836289,10.41476924,10.37681679,10.77777925,14.18481596,11.04818173,9.520105859,14.83960507,13.26012012,13.7509098,14.29031378,14.42429172,15.8294153,16.22733789,13.78231708,17.6468629,14.72958408,23.48916112
77,NFV,4.27107142,4.013150306,3.547931996,4.647222257,4.689538268,4.574080407,4.498456883,5.394150216,3.864386672,3.76773178,5.900219357,5.021372186,4.690252904,5.4559458,4.956993913,4.873750597,6.484388841,6.362750467,4.831636584,6.837470608,4.553086981,5.638650081,4.916911535,4.63765515,5.284640695,6.418673282,5.855641827,6.668923939,5.10333376,15.41650125
78,NWB,7.842688435,7.406691863,6.393549732,6.581036428,7.417066806,6.771466353,7.030348418,7.561845273,6.88282159,6.680128826,8.03534771,9.011119695,8.466435492,7.287771774,7.775535708,8.812218905,8.803862586,9.56488348,7.76783953,9.469590864,8.650854571,9.55863271,8.062724421,9.189294559,9.153877511,8.579464627,9.231269858,8.615790004,8.226644175,14.98638329
79,NYN,8.263705311,8.291080292,7.27911568,7.316663013,7.960062605,8.102579091,8.008217622,8.354518972,7.677093349,7.311300579,9.09659457,9.522889615,8.828877729,7.968684122,9.070375075,9.39925632,9.390341232,10.12383625,8.40621316,10.64156701,8.845410741,10.14088575,8.192383834,9.235828488,9.198953073,8.86809015,9.672469126,9.279253926,9.357739013,15.36453662
80,ORW,4.793391311,4.166444583,3.475380272,4.104003401,5.234671322,4.884230251,5.190877282,5.89220514,4.856075148,3.258063102,6.104458163,5.844323939,4.645044485,4.726952363,5.747364939,4.976711417,5.512028964,5.235742677,4.829039569,5.695541747,5.799894595,5.363145962,5.982432932,5.285922055,5.598719171,7.092327852,6.343621171,6.995826037,5.297842998,10.16998014
81,OXO,5.284791257,4.669951281,4.721422895,5.906963404,7.031397323,7.442902035,7.364828452,7.913988418,6.946061195,5.733612175,8.479594238,7.138406882,4.612687995,6.63902999,5.431657127,8.045519896,8.839824314,7.71525322,6.03318212,8.663559237,7.000283115,8.990839646,8.816548404,5.671745422,8.152691912,9.286096858,8.443378008,10.12869995,7.550807371,18.61120152
82,SCT,4.963229278,4.669350398,4.220315045,4.583997183,4.994141531,4.636222693,5.031164695,4.796247923,4.385790691,4.079510843,5.71417371,5.590698981,5.118678816,4.614965826,5.692482384,6.326498741,5.792989232,7.435655134,4.925870628,6.386190189,4.82742049,6.145625604,4.480832151,6.110544312,5.1385681,5.110945397,5.426876012,5.469855615,5.314590875,12.75502873
83,SPP,4.998791036,4.081300601,3.678003471,4.433523531,5.066845916,4.868044819,5.160188524,5.984487912,4.200968272,4.300317966,5.510107272,5.170733865,4.33381389,5.203845633,4.886486185,5.37134049,5.636600885,5.261422079,4.580283948,7.26971525,4.868926699,6.731296967,5.40544722,5.136313479,5.494952539,6.104938126,4.963139813,6.840390236,5.490261943,12.95315056
84,TLO,6.55786437,6.280472247,6.50574006,6.98527603,9.072009565,8.449557767,8.190900278,9.336093812,7.47367654,7.235589046,9.46301099,7.925799793,6.931474378,7.696769491,7.383439095,8.863382492,10.0566901,8.966680903,6.847665887,11.29913893,8.129030924,10.55029202,9.43849784,7.576633044,10.72221701,10.56049982,10.08802948,11.75181425,9.452658402,20.9288711
85,TN1,4.414866467,4.389776707,3.821759173,5.133664334,5.447963416,5.935002115,5.196290612,5.7139018,4.11877164,4.388236497,5.584508368,5.194210029,4.876898755,5.379650865,5.282449088,5.160659701,6.536158108,6.773746255,4.758868606,6.895833888,5.05419372,6.691537528,5.887383997,5.140902511,5.978098611,6.892902867,6.129082923,7.496182686,5.249085193,15.23784586
86,TN2,4.424568006,4.402250519,3.83792766,5.141441514,5.47543121,5.955980504,5.21156518,5.725447493,4.137293227,4.410709279,5.618937246,5.221028079,4.909574948,5.405025448,5.302438067,5.179465038,6.559644315,6.774220733,4.796211515,6.925051292,5.067081994,6.719520257,5.909185475,5.163467973,5.984958203,6.904034681,6.13668193,7.506784244,5.255384887,15.30753232
87,PAI,2.559545232,2.403954525,2.218208197,3.036890968,3.563863799,3.32477187,3.063321565,3.963824405,2.776430368,2.606136855,3.992210792,3.589989332,2.80181306,3.679893517,3.545587215,3.962585276,4.622416332,4.63186477,3.179642902,5.073396193,3.508484257,4.195204206,3.532726952,3.650255492,4.106476121,4.070193799,4.009569939,5.079318694,3.79508255,9.572362618
88,TON,4.406964063,4.385391478,3.808161227,5.137976684,5.419962443,5.919967427,5.183544911,5.708072813,4.104092875,4.372436657,5.545138389,5.163237712,4.839732193,5.356044236,5.271098729,5.139569377,6.511228079,6.775739425,4.717502922,6.855581023,5.048870703,6.669438068,5.8638126,5.126336877,5.982687948,6.88515352,6.124220541,7.488091591,5.251506099,15.15613017
89,WIN,5.376063073,5.289955513,5.125884859,5.228594894,5.933615748,5.783887611,5.414160407,5.886750144,5.113650313,4.210796374,6.59270381,6.612152072,5.78679511,5.305027885,6.297596333,6.943171429,6.930975748,8.029991013,5.694124805,7.031554892,5.257146576,6.51375486,5.468662753,7.089775622,6.05757307,6.040942133,5.968221417,5.979713529,6.010913159,13.65521218
90,ATT,4.910768042,4.710704237,4.817806195,4.348703955,5.629362418,4.912328596,5.125927112,4.971101093,4.907215553,3.936783897,6.175048229,5.671000893,5.337299473,5.485139715,6.02026309,6.474490249,6.530412162,7.104624478,5.188949282,6.564437031,5.018108277,5.892053737,5.079774734,6.07444889,5.294051809,5.517672553,6.175907128,5.267147715,5.565938606,11.76994747
91,LEH,20.62985214,18.57891575,16.20237094,17.27914901,22.35694743,17.70889268,19.18128985,22.23678174,21.49608674,23.59050134,19.26385892,21.39340292,19.99631543,22.50273557,20.0961828,21.77973318,22.17328994,19.31462081,21.46666207,23.21827789,20.73814248,22.13070804,19.54019729,18.14089917,18.71619944,19.42227114,20.31300143,20.50007656,17.65532677,25.58764224
