date,spei
1981-12-31,0.5103179947620652
1982-12-31,0.1197035546338005
1983-12-31,0.0577571196193024
1984-12-31,0.2837302720067572
1985-12-31,0.2559272797422391
1986-12-31,0.0019959607048168
1987-12-31,0.2919921665619909
1988-12-31,0.0128426689716541
1989-12-31,0.0346299320284325
1990-12-31,0.1636488101973978
1991-12-31,0.1672519479718544
1992-12-31,0.2291214750569228
1993-12-31,0.0189922845908079
1994-12-31,-0.0494574879290911
1995-12-31,-0.130379532106055
1996-12-31,0.3867295346433694
1997-12-31,0.1344098328212819
1998-12-31,-0.2271067615978899
1999-12-31,-0.296945944635339
2000-12-31,0.0549934661389335
2001-12-31,-0.0973981480273577
2002-12-31,-0.3549529141007174
2003-12-31,-0.0294747709932162
2004-12-31,0.101727963120623
2005-12-31,-0.122102374133431
2006-12-31,-0.2136044953959824
2007-12-31,-0.1024942917338898
2008-12-31,-0.3888125661404848
2009-12-31,-0.3101505239671072
2010-12-31,0.2322044148753696
2011-12-31,0.2769183706930748
2012-12-31,-0.2636513686806589
2013-12-31,-0.6456217053798922
2014-12-31,-0.1291380151614729
