,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),1.31,0.06,1.31,1.43,1.66,1.43,1.72,2,2
Extreme precipitation day,1.19,1.14,2.14,1.59,6.19,1.74,6.29,1,1
Annual avg Tmax (C),13.36,0.39,14.08,15.77,16.94,16.87,21.23,3,3
Maximum Daily Precipitation (mm/day),32.43,13.23,33.0,34.46,79.49,35.39,78.87,1,1
SPEI,-0.0,0.25,-0.02,-0.22,-1.16,-0.48,-1.48,1,2
