,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),0.78,0.04,0.85,0.86,0.98,0.88,1.04,3,3,0.79,0.86,3,0.9,3,0.88,3,0.98,3
Extreme precipitation day,0.43,0.55,3.38,0.86,4.48,0.98,5.95,1,1,0.76,1.1,1,1.29,2,1.26,1,1.81,2
Annual avg Tmax (C),16.84,0.38,18.05,19.36,21.42,20.39,24.33,3,3,17.29,19.5,3,20.16,3,20.02,3,22.78,3
Maximum Daily Precipitation (mm/day),18.4,4.16,48.7,20.81,56.31,21.91,57.03,1,1,19.86,23.01,1,22.58,1,23.38,2,26.38,2
SPEI,0.01,0.3,-0.8,-0.06,-0.62,-0.31,-1.19,1,2,-0.26,-0.06,0,0.27,0,-0.22,0,-0.61,2
Heating Degree Days,6310.68,216.73,7260.47,5079.55,6478.7,4738.6,6503.29,0,0,6093.11,5060.94,0,4791.91,0,4860.88,0,3828.08,0
Extreme Degree Days,0.0,0.0,0.0,0.0,0.18,0.0,10.81,0,0,0.0,0.0,0,0.02,0,0.0,0,1.3,3
Cooling Degree Days,350.23,53.47,659.53,790.07,1326.38,1012.94,2125.22,3,3,438.56,809.98,3,968.6,3,964.32,3,1699.12,3
Wildfire,,,,17.32,,17.82,,2,2,16.76,16.38,2,18.27,2,16.9,2,18.73,2
