date,spei
2015-12-31,-0.0698573781042376
2016-12-31,0.1249268961847918
2017-12-31,-0.0181600141279902
2018-12-31,-0.1044603200451276
2019-12-31,-0.1253750331089898
2020-12-31,-0.3696513052022569
2021-12-31,-0.2426766167708353
2022-12-31,0.0851973142130177
2023-12-31,-0.2300473806483103
2024-12-31,-0.0710221487025489
2025-12-31,-0.0819070823041645
2026-12-31,-0.3269663322571934
2027-12-31,0.3571398969772829
2028-12-31,0.0727928119465734
2029-12-31,-0.4781273545053031
2030-12-31,-0.5414477177821492
2031-12-31,-0.1568795710205868
2032-12-31,-0.3934479441728204
2033-12-31,-0.8205922637646225
2034-12-31,-0.842889392140766
2035-12-31,0.2195595636550761
2036-12-31,0.1374098382823992
2037-12-31,-0.1478052328661354
2038-12-31,-0.5853510726698866
2039-12-31,-0.6704343578277528
2040-12-31,-0.2089318706061339
2041-12-31,-0.5320073835375172
2042-12-31,-0.6256239141619065
2043-12-31,0.11458592755367
2044-12-31,0.2180330011832334
2045-12-31,-0.1400913090038606
2046-12-31,-0.0577256845686871
2047-12-31,-0.4391366974330319
2048-12-31,-0.7852382862945475
2049-12-31,-0.7610075882903532
2050-12-31,-0.7962516438282834
2051-12-31,-0.5262434461220061
2052-12-31,-0.3222392802874746
2053-12-31,-0.4027571934423685
2054-12-31,-0.211126978138805
2055-12-31,-0.7598225326390234
2056-12-31,-0.3180497084008009
2057-12-31,-0.0733486372612553
2058-12-31,0.0343503697791483
2059-12-31,-0.1384212971841968
2060-12-31,-0.1856581419182669
2061-12-31,-0.5752246297356989
2062-12-31,-0.1423345609723322
2063-12-31,-0.3703043426212531
2064-12-31,-0.5158368032348043
2065-12-31,-0.4581791211705381
2066-12-31,-0.4891081258093685
2067-12-31,-0.6766876754597564
2068-12-31,-0.7353455468874822
2069-12-31,-0.7089372294178539
2070-12-31,-0.0368700003605704
2071-12-31,-0.5551494636257122
2072-12-31,-0.2542429977981333
2073-12-31,-0.462543286181506
2074-12-31,-0.6501439046334055
2075-12-31,-0.3478377153379623
2076-12-31,-0.6311530042695312
2077-12-31,-0.6533496553362272
2078-12-31,0.0228635425546423
2079-12-31,-0.2540273080760017
2080-12-31,-0.5547915850338134
2081-12-31,-0.6354540800396591
2082-12-31,-0.8230157215670276
2083-12-31,-0.6434147447572865
2084-12-31,-0.8358692368135093
2085-12-31,-0.7591107008694551
2086-12-31,-0.5410557412910502
2087-12-31,-0.8078348960397996
2088-12-31,-1.1972040933005987
2089-12-31,-0.9345888806520012
2090-12-31,-0.7732788702475101
2091-12-31,-0.7134252560952368
2092-12-31,-0.8276755754939988
2093-12-31,-0.8353301266378048
2094-12-31,-0.6112829705426213
2095-12-31,-1.046053440462036
2096-12-31,-0.5974783441145045
2097-12-31,-0.6925813425694419
2098-12-31,-0.5791785310959003
2099-12-31,-0.4128672994534465
2100-12-31,-0.391125140304097
