date,mean
1950-12-31,1.369547828258753
1951-12-31,1.362521380852334
1952-12-31,1.3795414753021815
1953-12-31,1.2379080414778771
1954-12-31,1.5168464942507631
1955-12-31,1.3216353315411595
1956-12-31,1.377200452579837
1957-12-31,1.3670709912457366
1958-12-31,1.3485645615360906
1959-12-31,1.3688860562757743
1960-12-31,1.4275972304266444
1961-12-31,1.2828343173809482
1962-12-31,1.3500936925297298
1963-12-31,1.3085388923987693
1964-12-31,1.374862145011643
1965-12-31,1.2912910737715952
1966-12-31,1.2850437641055323
1967-12-31,1.2989317709331931
1968-12-31,1.4062820794665962
1969-12-31,1.3559511881396034
1970-12-31,1.362917076242587
1971-12-31,1.3620264483944478
1972-12-31,1.3461419738089677
1973-12-31,1.4859407778474463
1974-12-31,1.4071570284287802
1975-12-31,1.4601445115779803
1976-12-31,1.4266305946566669
1977-12-31,1.3616019272006072
1978-12-31,1.377486148650081
1979-12-31,1.3711774874579723
1980-12-31,1.2545132612944507
1981-12-31,1.4300005815042434
1982-12-31,1.3731542997924382
1983-12-31,1.3988578166998198
1984-12-31,1.3221599202192422
1985-12-31,1.327064733596207
1986-12-31,1.359464337001133
1987-12-31,1.3977468272959752
1988-12-31,1.2568631154531438
1989-12-31,1.4681728108989196
1990-12-31,1.215807260848319
1991-12-31,1.4468529424804486
1992-12-31,1.3075754365735999
1993-12-31,1.270120497277246
1994-12-31,1.2938025976313916
1995-12-31,1.2694009152864663
1996-12-31,1.4847848935094783
1997-12-31,1.3678411829861343
1998-12-31,1.351471920461318
1999-12-31,1.3028746522143162
2000-12-31,1.3737055641939866
2001-12-31,1.3789361698563392
2002-12-31,1.3281864015765932
2003-12-31,1.385681187900443
2004-12-31,1.4410909320390362
2005-12-31,1.276415171101413
