,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85
Annual precipitation (mm/day),1.07,0.05,1.05,1.13,1.3,1.15,1.33,2,2
Extreme precipitation day,0.96,1.01,1.48,1.29,5.57,1.47,6.19,1,1
Annual avg Tmax (C),16.64,0.35,17.31,18.91,20.78,19.85,22.71,3,3
Maximum Daily Precipitation (mm/day),28.13,10.35,28.64,29.96,69.47,30.9,71.58,1,1
SPEI,0.0,0.29,0.02,0.07,-0.61,-0.04,-0.64,0,1
Heating Degree Days,6418.08,376.09,,5330.24,6540.84,4958.71,6577.58,0,0
Extreme Degree Days,0.0,0.0,,0.0,0.0,0.06,3.52,3,3
Cooling Degree Days,185.86,77.74,,521.64,963.41,757.11,1670.24,3,3
