,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),0.83,0.04,0.81,0.86,1.01,0.83,0.93,1,1
Extreme precipitation day,1.06,1.05,1.15,1.31,5.43,1.27,5.14,1,1
Annual avg Tmax (C),18.71,0.39,19.43,21.17,22.82,22.26,26.38,3,3
Maximum Daily Precipitation (mm/day),28.81,12.74,28.56,30.35,83.21,29.45,71.09,1,1
SPEI,-0.02,0.33,-0.13,-0.38,-1.03,-0.7,-1.62,2,3
