,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),0.59,0.03,0.59,0.62,0.74,0.61,0.74,2,1
Extreme precipitation day,0.87,0.97,0.64,1.09,4.9,1.1,5.0,1,1
Annual avg Tmax (C),20.17,0.39,20.9,22.66,24.55,23.75,28.12,3,3
Maximum Daily Precipitation (mm/day),22.13,9.97,22.54,23.69,65.02,24.16,68.65,1,1
SPEI,-0.01,0.29,-0.08,-0.38,-1.13,-0.62,-1.59,2,3
