,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),0.84,0.04,0.85,0.92,1.04,0.92,1.11,3,3
Extreme precipitation day,0.62,0.77,0.02,0.72,3.9,0.77,3.9,1,1
Annual avg Tmax (C),13.2,0.37,13.86,15.48,17.34,16.55,20.53,3,3
Maximum Daily Precipitation (mm/day),22.18,8.95,21.96,23.01,58.7,23.53,59.51,1,1
SPEI,-0.0,0.24,-0.04,-0.06,-0.7,-0.37,-1.1,1,2
