,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,risk_rcp45,risk_rcp85
Annual precipitation (mm/day),0.46,0.03,0.46,0.5,0.59,0.49,0.58,2,2
Extreme precipitation day,0.64,0.81,0.13,0.81,4.19,0.82,3.86,1,1
Annual avg Tmax (C),19.69,0.4,20.44,22.25,24.38,23.36,27.92,3,3
Maximum Daily Precipitation (mm/day),16.09,8.32,15.98,16.8,51.52,16.94,49.04,1,1
SPEI,-0.0,0.29,-0.09,-0.32,-1.15,-0.59,-1.46,2,3
